year,outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity
2025,0.00029988075880758814,0.0,0.0008665235772357724,1.0
2026,0.0003115851851851852,0.0,0.001178222222222222,1.0
2027,0.00032312558139534886,0.0,0.001483572093023256,1.0
2028,0.00033451313131313136,0.0,0.001783006060606061,1.0
2029,0.00034575802469135805,0.0,0.0020769185185185186,1.0
2030,0.0003568695652173914,0.0,0.0023656695652173915,1.0
2031,0.00034651823899371076,0.0,0.002395210566037736,1.0
2032,0.0003368842105263159,0.0,0.002423797894736843,1.0
2033,0.00032789589041095897,0.0,0.0024515267318982394,1.0
2034,0.0003194909090909092,0.0,0.002478480000000001,1.0
2035,0.00031161467889908266,0.0,0.002504730275229358,1.0
2036,0.0003042192170818506,0.0,0.002530341352313168,1.0
2037,0.00029726217616580315,0.0,0.002555369533678757,1.0
2038,0.0002907060402684564,0.0,0.0025798646979865772,1.0
2039,0.00028451745513866235,0.0,0.002603871190864601,1.0
2040,0.0002786666666666667,0.0,0.002627428571428572,1.0
2041,0.00027312704791344666,0.0,0.0026505722411128284,1.0
2042,0.0002678746987951807,0.0,0.0026733339759036144,1.0
2043,0.00026288810572687227,0.0,0.0026957423788546257,1.0
2044,0.00025814785100286526,0.0,0.002717823266475645,1.0
2045,0.0002536363636363636,0.0,0.0027395999999999996,1.0
2046,0.0002493377049180327,0.0,0.002761093770491803,1.0
2047,0.00024523738317757006,0.0,0.002782323845126836,1.0
2048,0.00024132219321148824,0.0,0.0028033077806788507,1.0
2049,0.00023758007662835247,0.0,0.002824061609195402,1.0
