year,outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity
2025,0.00030333333333333335,0.0,0.0008765,1.0
2026,0.00031073170731707326,0.0,0.000897878048780488,1.0
2027,0.00031813008130081305,0.0,0.0009192560975609756,1.0
2028,0.00032552845528455285,0.0,0.0009406341463414633,1.0
2029,0.00033292682926829275,0.0,0.0009620121951219513,1.0
2030,0.00034032520325203255,0.0,0.000983390243902439,1.0
2031,0.0003529024390243903,0.0,0.0010197329268292683,1.0
2032,0.000365479674796748,0.0,0.0010560756097560975,1.0
2033,0.0003780569105691057,0.0,0.0010924182926829269,1.0
2034,0.00039063414634146347,0.0,0.001128760975609756,1.0
2035,0.00040321138211382116,0.0,0.0011651036585365853,1.0
2036,0.0004157886178861789,0.0,0.0012014463414634145,1.0
2037,0.00042836585365853665,0.0,0.001237789024390244,1.0
2038,0.0004409430894308944,0.0,0.0012741317073170731,1.0
2039,0.00045352032520325214,0.0,0.0013104743902439026,1.0
2040,0.00046609756097560983,0.0,0.0013468170731707318,1.0
2041,0.0004786747967479676,0.0,0.001383159756097561,1.0
2042,0.0004912520325203253,0.0,0.0014195024390243902,1.0
2043,0.000503829268292683,0.0,0.0014558451219512196,1.0
2044,0.0005164065040650408,0.0,0.001492187804878049,1.0
2045,0.0005289837398373985,0.0,0.0015285304878048783,1.0
2046,0.0005415609756097562,0.0,0.0015648731707317075,1.0
2047,0.000554138211382114,0.0,0.0016012158536585367,1.0
2048,0.0005667154471544716,0.0,0.001637558536585366,1.0
2049,0.0005792926829268294,0.0,0.0016739012195121953,1.0
