year,plant_outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity,transmission_outage_rate,asset_capex_loss_rate
2025,0.00020945578537491925,0.0003125,0.0,1.0,0.0,0.0
2026,0.0004257789735490162,0.000625,0.0,1.0,0.0,0.0
2027,0.0006489695645222909,0.0009375000000000001,0.0,1.0,0.0,0.0
2028,0.0008790275582947431,0.00125,0.0,1.0,0.0,0.0
2029,0.0011159529548663732,0.0015625,0.0,1.0,0.0,0.0
2030,0.0013597457542371808,0.0018750000000000001,0.0,1.0,0.0,0.0
2031,0.0013721070792757008,0.0021874999999999998,0.0,1.0,0.0,0.0
2032,0.0013844684043142206,0.0025,0.0,1.0,0.0,0.0
2033,0.0013968297293527404,0.0028125,0.0,1.0,0.0,0.0
2034,0.0014091910543912601,0.003125,0.0,1.0,0.0,0.0
2035,0.00142155237942978,0.0034375,0.0,1.0,0.0,0.0
2036,0.0014339137044682999,0.0037500000000000003,0.0,1.0,0.0,0.0
2037,0.0014462750295068196,0.0040625,0.0,1.0,0.0,0.0
2038,0.0014586363545453396,0.0043749999999999995,0.0,1.0,0.0,0.0
2039,0.0014709976795838594,0.0046875,0.0,1.0,0.0,0.0
2040,0.0014833590046223792,0.005,0.0,1.0,0.0,0.0
2041,0.0014957203296608987,0.0053125,0.0,1.0,0.0,0.0
2042,0.0015080816546994187,0.005625,0.0,1.0,0.0,0.0
2043,0.0015204429797379385,0.0059375,0.0,1.0,0.0,0.0
2044,0.0015328043047764582,0.00625,0.0,1.0,0.0,0.0
2045,0.0015451656298149782,0.006562500000000001,0.0,1.0,0.0,0.0
2046,0.001557526954853498,0.006875,0.0,1.0,0.0,0.0
2047,0.0015698882798920177,0.0071875,0.0,1.0,0.0,0.0
2048,0.0015822496049305377,0.007500000000000001,0.0,1.0,0.0,0.0
2049,0.0015946109299690575,0.0078125,0.0,1.0,0.0,0.0
2050,0.0016069722550075773,0.008125,0.0,1.0,0.0,0.0
2051,0.0016119167850229853,0.008125,0.0,1.0,0.0,0.0
2052,0.0016168613150383932,0.008125,0.0,1.0,0.0,0.0
2053,0.001621805845053801,0.008125,0.0,1.0,0.0,0.0
2054,0.0016267503750692091,0.008125,0.0,1.0,0.0,0.0
2055,0.001631694905084617,0.008125,0.0,1.0,0.0,0.0
2056,0.0016366394351000249,0.008125,0.0,1.0,0.0,0.0
2057,0.001641583965115433,0.008125,0.0,1.0,0.0,0.0
2058,0.0016465284951308408,0.008125,0.0,1.0,0.0,0.0
2059,0.0016514730251462487,0.008125,0.0,1.0,0.0,0.0
2060,0.0016564175551616568,0.008125,0.0,1.0,0.0,0.0
2061,0.0016613620851770646,0.008125,0.0,1.0,0.0,0.0
2062,0.0016663066151924725,0.008125,0.0,1.0,0.0,0.0
2063,0.0016712511452078806,0.008125,0.0,1.0,0.0,0.0
2064,0.0016761956752232884,0.008125,0.0,1.0,0.0,0.0
