year,outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity
2025,0.0002658914383561644,0.0051,0.0030733333333333333,1.0
2026,0.0002713034246575343,0.005200000000000001,0.003146666666666667,1.0
2027,0.00027671541095890414,0.0053,0.0032200000000000006,1.0
2028,0.00028212739726027396,0.0054,0.0032933333333333334,1.0
2029,0.00028753938356164383,0.0055000000000000005,0.0033666666666666667,1.0
2030,0.0002929513698630137,0.005600000000000001,0.0034400000000000003,1.0
2031,0.0003018767465753425,0.0056700000000000006,0.0035330000000000005,1.0
2032,0.0003108021232876712,0.005740000000000001,0.0036260000000000003,1.0
2033,0.00031972749999999996,0.005810000000000001,0.0037190000000000005,1.0
2034,0.00032865287671232874,0.005880000000000001,0.0038120000000000003,1.0
2035,0.0003375782534246575,0.0059499999999999996,0.0039049999999999996,1.0
2036,0.00034650363013698633,0.00602,0.003998,1.0
2037,0.0003554290068493151,0.00609,0.004090999999999999,1.0
2038,0.0003643543835616439,0.00616,0.004184,1.0
2039,0.00037327976027397264,0.00623,0.0042769999999999996,1.0
2040,0.00038220513698630136,0.0063,0.004370000000000001,1.0
2041,0.00039113051369863013,0.006370000000000001,0.004463,1.0
2042,0.0004000558904109589,0.00644,0.004556,1.0
2043,0.0004089812671232877,0.00651,0.004649,1.0
2044,0.00041790664383561655,0.006580000000000001,0.004742,1.0
2045,0.0004268320205479453,0.0066500000000000005,0.004835,1.0
2046,0.00043575739726027404,0.006719999999999999,0.004928,1.0
2047,0.00044468277397260276,0.006789999999999999,0.005020999999999999,1.0
2048,0.00045360815068493153,0.00686,0.0051140000000000005,1.0
2049,0.0004625335273972603,0.0069299999999999995,0.005207,1.0
2050,0.0004714589041095891,0.006999999999999999,0.0053,1.0
2051,0.0004797880821917809,0.007039999999999999,0.005365999999999999,1.0
2052,0.00048811726027397266,0.0070799999999999995,0.005432,1.0
2053,0.0004964464383561645,0.00712,0.005497999999999999,1.0
2054,0.0005047756164383563,0.00716,0.0055639999999999995,1.0
2055,0.0005131047945205481,0.0072,0.00563,1.0
2056,0.0005214339726027398,0.00724,0.005696,1.0
2057,0.0005297631506849316,0.00728,0.005762,1.0
2058,0.0005380923287671232,0.00732,0.005828,1.0
2059,0.0005464215068493152,0.00736,0.005894,1.0
2060,0.0005547506849315068,0.0074,0.00596,1.0
2061,0.0005630798630136987,0.00744,0.006026,1.0
2062,0.0005714090410958904,0.0074800000000000005,0.006092,1.0
2063,0.0005797382191780823,0.00752,0.006158,1.0
2064,0.000588067397260274,0.00756,0.006224,1.0
