year,plant_outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity,transmission_outage_rate,asset_capex_loss_rate
2025,0.0004223452721494273,3.8730769230769234e-05,0.0,0.9997901153846154,0.0,0.0
2026,0.0008652927526963878,7.746153846153847e-05,0.0,0.9995802307692307,0.0,0.0
2027,0.0013288424416408812,0.00011619230769230771,0.0,0.9993703461538461,0.0,0.0
2028,0.0018129943389829076,0.00015492307692307694,0.0,0.9991604615384615,0.0,0.0
2029,0.002317748444722467,0.0001936538461538462,0.0,0.9989505769230769,0.0,0.0
2030,0.0028431047588595598,0.00023238461538461542,0.0,0.9987406923076924,0.0,0.0
2031,0.002948176021686978,0.0002711153846153846,0.0,0.9985308076923077,0.0,0.0
2032,0.0030532472845143967,0.0003098461538461539,0.0,0.9983209230769231,0.0,0.0
2033,0.003158318547341815,0.0003485769230769231,0.0,0.9981110384615385,0.0,0.0
2034,0.0032633898101692336,0.0003873076923076924,0.0,0.9979011538461539,0.0,0.0
2035,0.003368461072996652,0.0004260384615384616,0.0,0.9976912692307692,0.0,0.0
2036,0.0034735323358240705,0.00046476923076923084,0.0,0.9974813846153846,0.0,0.0
2037,0.0035786035986514896,0.0005035,0.0,0.9972715,0.0,0.0
2038,0.003683674861478908,0.0005422307692307692,0.0,0.9970616153846154,0.0,0.0
2039,0.0037887461243063265,0.0005809615384615384,0.0,0.9968517307692307,0.0,0.0
2040,0.0038938173871337447,0.0006196923076923078,0.0,0.9966418461538461,0.0,0.0
2041,0.003998888649961163,0.000658423076923077,0.0,0.9964319615384616,0.0,0.0
2042,0.004103959912788582,0.0006971538461538462,0.0,0.996222076923077,0.0,0.0
2043,0.004209031175616,0.0007358846153846154,0.0,0.9960121923076923,0.0,0.0
2044,0.004314102438443419,0.0007746153846153848,0.0,0.9958023076923077,0.0,0.0
2045,0.004419173701270838,0.000813346153846154,0.0,0.9955924230769231,0.0,0.0
2046,0.004524244964098256,0.0008520769230769232,0.0,0.9953825384615385,0.0,0.0
2047,0.004629316226925675,0.0008908076923076924,0.0,0.9951726538461538,0.0,0.0
2048,0.004734387489753093,0.0009295384615384617,0.0,0.9949627692307692,0.0,0.0
2049,0.004839458752580511,0.0009682692307692309,0.0,0.9947528846153846,0.0,0.0
2050,0.00494453001540793,0.001007,0.0,0.994543,0.0,0.0
2051,0.005043420615716089,0.001007,0.0,0.994543,0.0,0.0
2052,0.005142311216024247,0.001007,0.0,0.994543,0.0,0.0
2053,0.005241201816332406,0.001007,0.0,0.994543,0.0,0.0
2054,0.005340092416640565,0.001007,0.0,0.994543,0.0,0.0
2055,0.005438983016948723,0.001007,0.0,0.994543,0.0,0.0
2056,0.005537873617256882,0.001007,0.0,0.994543,0.0,0.0
2057,0.0056367642175650405,0.001007,0.0,0.994543,0.0,0.0
2058,0.005735654817873199,0.001007,0.0,0.994543,0.0,0.0
2059,0.005834545418181358,0.001007,0.0,0.994543,0.0,0.0
2060,0.005933436018489516,0.001007,0.0,0.994543,0.0,0.0
2061,0.006032326618797675,0.001007,0.0,0.994543,0.0,0.0
2062,0.006131217219105833,0.001007,0.0,0.994543,0.0,0.0
2063,0.006230107819413992,0.001007,0.0,0.994543,0.0,0.0
2064,0.006328998419722151,0.001007,0.0,0.994543,0.0,0.0
