year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,512136159.9759861,324356572.99296755,28807658.998649217,73500000.0,324891.2240138307,426664231.9916168,85471927.98436934,118333333.33333333,-32861405.34896399,142000000.0,0.0,-174861405.34896398,4179237.4999999995,89508041.82161033,0.348215,0.3479942378614822,0.0,0.35672063666451054
2026,512077389.37196815,324343061.7377444,28804353.152173206,73500000.0,332153.028031921,426647414.8899176,85429974.48205054,118333333.33333333,-32903358.85128279,137705552.61892185,0.0,-170608911.47020465,4275975.000000001,89379839.19487123,0.34818,0.34795430349802137,0.0,0.3561120463674984
2027,512018620.28342557,324329546.00000215,28801047.39094269,73500000.0,339413.3165743742,426630593.39094484,85388026.89248073,118333333.33333333,-32945306.440852597,133196382.86878978,0.0,-166141689.30964237,4372712.5,89251641.00269388,0.348145,0.3479143701643194,0.0,0.3555034820162332
2028,511959852.71034414,324316025.77994233,28797741.714956857,73500000.0,346672.08965584234,426613767.4948992,85346085.21544492,118333333.33333333,-32987248.117888406,128461754.63115111,0.0,-161449002.74903953,4469450.0,89123447.24491702,0.34811,0.3478744378603665,0.0,0.35489494360977175
2029,511901086.65270895,324302501.077766,28794436.12421488,73500000.0,353929.3472910911,426596937.2019809,85304149.45072806,118333333.33333333,-33029183.88260527,123490394.9816305,0.0,-156519578.86423576,4566187.5,88995257.92137937,0.348075,0.3478345065861525,0.0,0.35428643114717023
2030,511842322.1105051,324288971.8936742,28791130.618715912,73500000.0,361185.089494829,426580102.51239014,85262219.59811497,118333333.33333333,-33071113.73521836,118270467.34963387,0.0,-151341581.08485222,4662925.0,88867073.03191955,0.34803999999999996,0.34779457634166744,0.0,0.35367794462748453
2031,511794222.9724406,324288550.2849345,28788425.042199783,73500000.0,373228.0675593592,426576975.3271343,85217247.64530629,118333333.33333333,-33116085.68802704,112789543.3360374,0.0,-145905629.02406442,4826047.5,88670221.56731305,0.3480155,0.34776189319175405,0.0,0.3527648048943798
2032,511746125.6674809,324288124.1890321,28785719.5687958,73500000.0,385269.2125191039,426573843.7578279,85172281.90965301,118333333.33333333,-33161051.42368032,107034573.12176111,0.0,-140195624.54544145,4989170.0,88473374.76557308,0.347991,0.34772921128742723,0.0,0.35185169244278847
2033,511698030.19559777,324287693.60627186,28783014.198502377,73500000.0,397308.5244022296,426570707.8047742,85127322.39082354,118333333.33333333,-33206010.942509785,100991854.39677101,0.0,-134197865.3392808,5152292.5,88276532.62645099,0.3479665,0.3476965306286678,0.0,0.3509386072712557
2034,511649936.55676293,324287258.5369588,28780308.931317914,73500000.0,409346.003237073,426567567.46827674,85082369.0884862,118333333.33333333,-33250964.244847134,94646999.73553139,0.0,-127897963.98037852,5315414.999999999,88079695.14969797,0.347942,0.3476638512154564,0.0,0.3500255493783258
2035,511601844.750948,324286818.9813979,28777603.767240826,73500000.0,421381.64905197115,426564422.74863875,85037422.00230926,118333333.33333333,-33295911.331024066,87984902.3412298,0.0,-121280813.67225386,5478537.499999999,87882862.33506528,0.3479175,0.34763117304777397,0.0,0.34911251876254334
2036,511553754.77812475,324286374.93989414,28774898.706269518,73500000.0,433415.461875204,426561273.64616364,84992481.1319611,118333333.33333333,-33340852.20137222,80989700.07721312,0.0,-114330552.27858534,5641659.999999999,87686034.18230416,0.34789299999999995,0.3475984961256012,0.0,0.34819951542245303
2037,511505666.63826495,324285926.41275245,28772193.7484024,73500000.0,445447.4417349947,426558120.16115487,84947546.47711009,118333333.33333333,-33385786.85622324,73644737.69999562,0.0,-107030524.55621886,5804782.5,87489210.6911659,0.34786849999999997,0.34756582044891887,0.0,0.3472865393565996
2038,511457580.3313403,324285473.40027785,28769488.89363789,73500000.0,457477.5886596803,426554962.29391575,84902618.03742456,118333333.33333333,-33430715.295908764,65932527.203917235,0.0,-99363242.499826,5967905.0,87292391.86140175,0.347844,0.34753314601770785,0.0,0.34637359056352773
2039,511409495.85732245,324285015.9027752,28766784.141974386,73500000.0,469505.90267754055,426551800.0447496,84857695.81257284,118333333.33333333,-33475637.52076049,57834706.183034934,0.0,-91310343.70379543,6131027.5,87095577.69276296,0.3478195,0.34750047283194885,0.0,0.3454606690417819
2040,511361413.2161832,324284553.92054963,28764079.493410304,73500000.0,481532.3838167988,426548633.4139599,84812779.80222327,118333333.33333333,-33520553.531110063,49331994.11110852,0.0,-82852547.64221859,6294150.0,86898768.18500078,0.34779499999999997,0.3474678008916226,0.0,0.3445477747899069
2041,511313332.4078942,324284087.45390606,28761374.94794405,73500000.0,493557.032105792,426545462.4018501,84767870.00604409,118333333.33333333,-33565463.32728924,40404146.43558578,0.0,-73969609.76287502,6457272.5,86701963.3378664,0.3477705,0.34743513019671,0.0,0.3436349078064469
