year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,142000000.0,0.0,-172945596.53333336,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2026,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,137705552.61892185,0.0,-168651149.15225524,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2027,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,133196382.86878978,0.0,-164141979.40212315,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2028,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,128461754.63115111,0.0,-159407351.1644845,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2029,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,123490394.9816305,0.0,-154435991.51496387,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2030,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,118270467.34963387,0.0,-149216063.88296723,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2031,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,112789543.3360374,0.0,-143735139.86937076,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2032,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,107034573.12176111,0.0,-137980169.6550945,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2033,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,100991854.39677101,0.0,-131937450.93010439,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2034,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,94646999.73553139,0.0,-125592596.26886477,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2035,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,87984902.3412298,0.0,-118930498.87456317,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2036,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,80989700.07721312,0.0,-111935296.6105465,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2037,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,73644737.69999562,0.0,-104590334.233329,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2038,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,65932527.203917235,0.0,-96878123.73725061,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2039,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,57834706.183034934,0.0,-88780302.71636832,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2040,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,49331994.11110852,0.0,-80277590.6444419,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2041,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,40404146.43558578,0.0,-71349742.96891916,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2042,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,31029906.37628691,0.0,-61975502.909620285,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2043,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,21186954.314023092,0.0,-52132550.84735647,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2044,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,10851854.64864608,0.0,-41797451.181979455,0.0,95124135.9333333,0.35,0.35,0.0,0.3834663230141275
2045,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,0.0,0.0,-30945596.533333376,0.0,95124135.9333333,0.35,0.35,0.0,0.0
2046,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,0.0,0.0,-30945596.533333376,0.0,95124135.9333333,0.35,0.35,0.0,0.0
2047,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,0.0,0.0,-30945596.533333376,0.0,95124135.9333333,0.35,0.35,0.0,0.0
2048,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,0.0,0.0,-30945596.533333376,0.0,95124135.9333333,0.35,0.35,0.0,0.0
2049,515088000.0,325226563.20000005,28973700.0,73500000.0,0.0,427700263.20000005,87387736.79999995,118333333.33333333,-30945596.533333376,0.0,0.0,-30945596.533333376,0.0,95124135.9333333,0.35,0.35,0.0,0.0
