year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,882743202.8909267,557847027.4029566,49654305.16261463,73500000.0,264797.1090731708,681001332.5655712,201741870.32535553,118333333.33333333,83408536.9920222,142000000.0,0.0,-58591463.0079778,0.0,180889736.07734996,0.6,0.5998200715447154,0.0,0.8852639517225378
2026,882739718.7184391,557851180.4216423,49654109.1779122,73500000.0,268281.28156097565,681005289.5995545,201734429.11888456,118333333.33333333,83401095.78555124,137705552.61892185,0.0,-54304456.83337061,0.0,180884155.17249674,0.6,0.5998177040650406,0.0,0.8852312989478043
2027,882736234.5459511,557855333.3901626,49653913.19320975,73500000.0,271765.45404878055,681009246.5833724,201726987.96257877,118333333.33333333,83393654.62924545,133196382.86878978,0.0,-49802728.23954433,0.0,180878574.3052674,0.6,0.5998153365853658,0.0,0.8851986463932006
2028,882732750.3734635,557859486.3085182,49653717.20850732,73500000.0,275249.62653658545,681013203.5170255,201719546.85643804,118333333.33333333,83386213.52310471,128461754.63115111,0.0,-45075541.1080464,0.0,180872993.47566187,0.6,0.599812969105691,0.0,0.8851659940587263
2029,882729266.2009757,557863639.1767087,49653521.223804876,73500000.0,278733.7990243903,681017160.4005135,201712105.80046213,118333333.33333333,83378772.4671288,123490394.9816305,0.0,-40111622.514501706,0.0,180867412.68367994,0.6,0.5998106016260163,0.0,0.8851333419443803
2030,882725782.0284878,557867791.994734,49653325.23910244,73500000.0,282217.9715121952,681021117.2338365,201704664.79465127,118333333.33333333,83371331.46131794,118270467.34963387,0.0,-34899135.88831593,0.0,180861831.92932177,0.6,0.5998082341463414,0.0,0.8851006900501638
2031,882724214.1508682,557869660.746479,49653237.04598634,73500000.0,283785.84913170733,681022897.7924653,201701316.35840285,118333333.33333333,83367983.02506952,112789543.3360374,0.0,-29421560.310967878,0.0,180859320.60213548,0.6,0.5998071687804878,0.0,0.8850859967695841
2032,882722646.2732488,557871529.488066,49653148.85287024,73500000.0,285353.7267512196,681024678.3409362,201697967.9323126,118333333.33333333,83364634.59897928,107034573.12176111,0.0,-23669938.522781834,0.0,180856809.2825678,0.6,0.5998061034146341,0.0,0.8850713035335794
2033,882721078.3956294,557873398.2194942,49653060.65975415,73500000.0,286921.60437073174,681026458.8792484,201694619.51638103,118333333.33333333,83361286.1830477,100991854.39677101,0.0,-17630568.213723317,0.0,180854297.97061908,0.6,0.5998050380487805,0.0,0.8850566103421521
2034,882719510.5180098,557875266.9407641,49652972.46663805,73500000.0,288489.481990244,681028239.4074022,201691271.11060762,118333333.33333333,83357937.7772743,94646999.73553139,0.0,-11289061.958257094,0.0,180851786.66628903,0.6,0.5998039726829268,0.0,0.8850419171952999
2035,882717942.6403903,557877135.6518754,49652884.27352195,73500000.0,290057.3596097562,681030019.9253973,201687922.714993,118333333.33333333,83354589.38165967,87984902.3412298,0.0,-4630312.959570125,0.0,180849275.36957806,0.6,0.5998029073170732,0.0,0.8850272240930255
2036,882716374.7627707,557879004.3528285,49652796.08040585,73500000.0,291625.23722926836,681031800.4332343,201684574.32953632,118333333.33333333,83351240.99620299,80989700.07721312,590385.2297474667,1771155.6892424002,0.0,180846764.08048558,0.6,0.5998018419512194,0.0,0.8824218602901694
2037,882714806.8851513,557880873.043623,49652707.88728976,73500000.0,293193.11484878056,681033580.9309127,201681225.95423853,118333333.33333333,83347892.6209052,73644737.69999562,2425788.730227396,7277366.190682188,0.0,180844252.79901224,0.6,0.5998007765853658,0.0,0.8743532290776055
2038,882713239.0075316,557882741.7242594,49652619.69417366,73500000.0,294760.99246829277,681035361.4184331,201677877.58909857,118333333.33333333,83344544.25576524,65932527.203917235,4353004.262962002,13059012.788886007,0.0,180841741.52515727,0.6,0.5997997112195121,0.0,0.8658817173258354
2039,882711671.1299123,557884610.3947372,49652531.501057565,73500000.0,296328.870087805,681037141.8957949,201674529.2341174,118333333.33333333,83341195.90078406,57834706.183034934,6376622.429437282,19129867.288311847,0.0,180839230.25892138,0.6,0.5997986458536585,0.0,0.856987181006231
2040,882710103.2522928,557886479.0550565,49652443.30794147,73500000.0,297896.7477073172,681038922.3629979,201671180.88929486,118333333.33333333,83337847.55596153,49331994.11110852,8501463.361213254,25504390.083639763,0.0,180836719.00030446,0.6,0.5997975804878048,0.0,0.8476484688887279
2041,882708535.3746731,557888347.7052174,49652355.11482537,73500000.0,299464.6253268293,681040702.8200427,201667832.5546304,118333333.33333333,83334499.22129707,40404146.43558578,10732588.196427822,32197764.589283466,0.0,180834207.74930614,0.6,0.5997965151219512,0.0,0.837843372181758
2042,882706967.4970536,557890216.34522,49652266.92170926,73500000.0,301032.5029463415,681042483.2669293,201664484.23012435,118333333.33333333,83331150.89679103,31029906.37628691,13075311.13012603,39225933.39037809,0.0,180831696.5059266,0.6,0.5997954497560976,0.0,0.8275485716541774
2043,882705399.6194341,557892084.975064,49652178.72859317,73500000.0,302600.3805658537,681044263.7036572,201661135.91577697,118333333.33333333,83327802.58244364,21186954.314023092,15535212.067105137,46605636.20131541,0.0,180829185.27016604,0.6,0.5997943843902439,0.0,0.8167395821132848
2044,882703831.7418146,557893953.5947497,49652090.53547707,73500000.0,304168.25818536594,681046044.1302267,201657787.61158788,118333333.33333333,83324454.27825455,10851854.64864608,18118149.907402117,54354449.722206354,0.0,180826674.04202425,0.6,0.5997933190243901,0.0,0.8053906941067418
2045,882702263.8641952,557895822.204277,49652002.34236098,73500000.0,305736.1358048781,681047824.546638,201654439.31755722,118333333.33333333,83321105.98422389,0.0,20830276.49605597,62490829.48816791,0.0,180824162.82150126,0.6,0.5997922536585366,0.0,0.0
2046,882700695.9865756,557897690.8036458,49651914.14924488,73500000.0,307304.0134243903,681049604.9528908,201651091.03368485,118333333.33333333,83317757.70035152,0.0,20829439.42508788,62488318.27526364,0.0,180821651.60859698,0.6,0.599791188292683,0.0,0.0
2047,882699128.1089561,557899559.3928564,49651825.956128776,73500000.0,308871.8910439025,681051385.3489852,201647742.7599709,118333333.33333333,83314409.42663758,0.0,20828602.356659394,62485807.06997818,0.0,180819140.4033115,0.6,0.5997901229268292,0.0,0.0
2048,882697560.2313365,557901427.9719082,49651737.76301268,73500000.0,310439.7686634147,681053165.7349209,201644394.49641562,118333333.33333333,83311061.16308229,0.0,20827765.29077057,62483295.87231171,0.0,180816629.20564502,0.6,0.5997890575609756,0.0,0.0
2049,882695992.3537171,557903296.5408019,49651649.569896586,73500000.0,312007.6462829269,681054946.1106985,201641046.24301863,118333333.33333333,83307712.9096853,0.0,20826928.227421325,62480784.68226397,0.0,180814118.01559728,0.6,0.5997879921951219,0.0,0.0
2050,882694424.4760976,557905165.099537,49651561.37678049,73500000.0,313575.52390243905,681056726.4763175,201637697.99978006,118333333.33333333,83304364.66644673,0.0,20826091.166611683,62478273.499835044,0.0,180811606.8331684,0.6,0.5997869268292683,0.0,0.0
2051,882693901.8502245,557905787.9501913,49651531.97907513,73500000.0,314098.1497756098,681057319.9292663,201636581.92095816,118333333.33333333,83303248.58762483,0.0,20825812.14690621,62477436.44071862,0.0,180810769.77405196,0.6,0.5997865717073171,0.0,0.0
2052,882693379.2243512,557906410.799717,49651502.58136976,73500000.0,314620.7756487805,681057913.3810867,201635465.84326446,118333333.33333333,83302132.50993113,0.0,20825533.127482783,62476599.382448345,0.0,180809932.7157817,0.6,0.5997862165853658,0.0,0.0
2053,882692856.5984781,557907033.6481138,49651473.1836644,73500000.0,315143.40152195125,681058506.8317783,201634349.7666998,118333333.33333333,83301016.43336646,0.0,20825254.108341616,62475762.32502484,0.0,180809095.65835816,0.6,0.5997858614634146,0.0,0.0
2054,882692333.9726049,557907656.495382,49651443.78595902,73500000.0,315666.027395122,681059100.281341,201633233.6912639,118333333.33333333,83299900.35793059,0.0,20824975.089482646,62474925.268447936,0.0,180808258.60178125,0.6,0.5997855063414634,0.0,0.0
2055,882691811.3467317,557908279.3415214,49651414.38825365,73500000.0,316188.6532682927,681059693.7297751,201632117.6169566,118333333.33333333,83298784.28362326,0.0,20824696.070905816,62474088.21271744,0.0,180807421.5460508,0.6,0.5997851512195121,0.0,0.0
2056,882691288.7208586,557908902.1865321,49651384.99054829,73500000.0,316711.27914146346,681060287.1770804,201631001.54377818,118333333.33333333,83297668.21044485,0.0,20824417.052611213,62473251.157833636,0.0,180806584.49116695,0.6,0.599784796097561,0.0,0.0
2057,882690766.0949852,557909525.0304141,49651355.59284292,73500000.0,317233.90501463425,681060880.623257,201629885.4717282,118333333.33333333,83296552.13839488,0.0,20824138.03459872,62472414.103796154,0.0,180805747.4371295,0.6,0.5997844409756097,0.0,0.0
2058,882690243.4691122,557910147.8731675,49651326.19513756,73500000.0,317756.5308878049,681061474.068305,201628769.40080714,118333333.33333333,83295436.06747381,0.0,20823859.016868453,62471577.05060536,0.0,180804910.38393867,0.6,0.5997840858536585,0.0,0.0
2059,882689720.843239,557910770.7147921,49651296.79743219,73500000.0,318279.15676097566,681062067.5122243,201627653.33101463,118333333.33333333,83294319.9976813,0.0,20823579.999420326,62470739.998260975,0.0,180804073.3315943,0.6,0.5997837307317073,0.0,0.0
2060,882689198.2173659,557911393.5552881,49651267.39972683,73500000.0,318801.7826341464,681062660.955015,201626537.26235092,118333333.33333333,83293203.92901759,0.0,20823300.982254397,62469902.94676319,0.0,180803236.28009653,0.6,0.599783375609756,0.0,0.0
2061,882688675.5914927,557912016.3946551,49651238.00202146,73500000.0,319324.40850731713,681063254.3966765,201625421.1948161,118333333.33333333,83292087.86148278,0.0,20823021.965370696,62469065.896112084,0.0,180802399.2294454,0.6,0.5997830204878049,0.0,0.0
