year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,514931756.64,325412885.75661236,28964911.310999997,73500000.0,156243.36000000002,427877797.06761235,87053959.57238764,118333333.33333333,-31279373.760945693,142000000.0,0.0,-173279373.76094568,0.0,94873803.01262406,0.35,0.3498938333333333,0.0,0.38200167441622096
2026,514923858.62399995,325514697.45901746,28964467.047599997,73500000.0,164141.37600000002,427979164.5066174,86944694.11738253,118333333.33333333,-31388639.215950802,137705552.61892185,0.0,-169094191.83487266,0.0,94791853.92137022,0.35,0.3498884666666666,0.0,0.38152220642909174
2027,514915960.60800004,325616505.8850903,28964022.7842,73500000.0,172039.392,428080528.6692903,86835431.93870974,118333333.33333333,-31497901.394623592,133196382.86878978,0.0,-164694284.26341337,0.0,94709907.28736563,0.35,0.3498831,0.0,0.38104275281884364
2028,514908062.592,325718311.0348306,28963578.5208,73500000.0,179937.408,428181889.55563056,86726173.03636944,118333333.33333333,-31607160.296963885,128461754.63115111,0.0,-160068914.928115,0.0,94627963.11061041,0.35,0.34987773333333333,0.0,0.3805633135854775
2029,514900164.576,325820112.90823853,28963134.2574,73500000.0,187835.42400000003,428283247.1656385,86616917.41036147,118333333.33333333,-31716415.92297186,123490394.9816305,0.0,-155206810.90460235,0.0,94546021.39110443,0.35,0.34987236666666666,0.0,0.38008388872899257
2030,514892266.55999994,325921911.505314,28962689.994,73500000.0,195733.44,428384601.499314,86507665.06068593,118333333.33333333,-31825668.272647396,118270467.34963387,0.0,-150096135.62228125,0.0,94464082.12884778,0.35,0.349867,0.0,0.3796044782493893
2031,514892009.01600003,325957867.4050997,28962675.50715,73500000.0,195990.98400000003,428420542.9122497,86471466.10375035,118333333.33333333,-31861867.22958298,112789543.3360374,0.0,-144651410.56562036,0.0,94436932.91114609,0.35,0.349866825,0.0,0.37944563352561755
2032,514891751.472,325993823.26875275,28962661.0203,73500000.0,196248.528,428456484.2890527,86435267.18294728,118333333.33333333,-31898066.15038605,107034573.12176111,0.0,-138932639.27214718,0.0,94409783.72054379,0.35,0.34986665,0.0,0.37928678896039897
2033,514891493.928,326029779.09627306,28962646.533449996,73500000.0,196506.072,428492425.6297231,86399068.2982769,118333333.33333333,-31934265.035056427,100991854.39677101,0.0,-132926119.43182744,0.0,94382634.557041,0.35,0.34986647499999995,0.0,0.37912794455373433
2034,514891236.38400006,326065734.88766074,28962632.046600003,73500000.0,196763.616,428528366.9342607,86362869.44973934,118333333.33333333,-31970463.88359399,94646999.73553139,0.0,-126617463.61912538,0.0,94355485.42063783,0.35,0.34986629999999996,0.0,0.37896910030562414
