year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,142000000.0,0.0,-104352270.6811095,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2026,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,139862696.21860072,0.0,-102214966.89971022,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2027,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,137618527.24813148,0.0,-99970797.92924099,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2028,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,135262149.82913882,0.0,-97614420.51024832,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2029,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,132787953.53919648,0.0,-95140224.22030598,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2030,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,130190047.43475702,0.0,-92542318.11586653,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2031,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,127462246.02509561,0.0,-89814516.70620511,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2032,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,124598054.54495111,0.0,-86950325.22606061,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2033,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,121590653.49079938,0.0,-83942924.17190889,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
2034,734692052.6723995,463884562.05735314,41326427.962822475,73500000.0,1147947.3276004023,578710990.0201757,155981062.65222383,118333333.33333333,37647729.3188905,118432882.38394009,0.0,-80785153.06504959,3816250.0,142752880.3225012,0.5,0.49921997490786013,0.0,0.8236430037010962
