year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,carbon_costs
2025,991252564.9359365,376675974.67565584,55757956.77764643,73500000.0,46459.31052488397,591906028.9121691,399346536.02376735,122500000.0,276846536.02376735,209230000.0,16227968.645704163,51388567.37806319,0.0,332903367.3780632,0.6735832682692307,85972097.45886679
2026,929542005.2141191,351468618.8869307,52026604.76944697,73500000.0,43566.97999460625,579091877.1184719,350450128.0956472,122500000.0,227950128.09564722,203603040.24028915,5843301.085285936,18503786.77007213,0.0,295742097.3526919,0.628506719091346,102096653.46209423
2027,865770865.371664,325719448.3849635,48215049.92540577,73500000.0,40578.07152337531,569084778.1221623,296686087.2495017,122500000.0,174186087.2495017,197632835.93523595,0.0,-23446748.685734242,0.0,254881426.3096213,0.5824612806030769,121650279.81179303
2028,799885559.3617097,299420147.6110682,44322061.3240068,73500000.0,37490.07357086428,553920839.0692772,245964720.29243255,122500000.0,123464720.29243255,191298449.1675745,0.0,-67833728.87514195,0.0,216333187.42224872,0.5354320826731331,136678630.13420218
2029,770348614.4832296,286907672.50195426,42469885.73219718,73500000.0,36105.697739106035,557656697.3470478,212691917.13618183,122500000.0,90191917.13618183,184577664.8070857,0.0,-94385747.67090386,0.0,191045857.02349818,0.513056899638453,154779139.11289635
2030,696369985.3735485,258039295.74020997,38196606.277333714,73500000.0,32638.371425318353,530357528.4145367,166012456.9590118,122500000.0,43512456.95901179,177446912.60060704,0.0,-133934455.64159524,0.0,155569467.28884897,0.4614336030224505,160621626.39699304
2031,665013000.8068061,245163686.8384863,36290677.32806541,73500000.0,31168.691613489136,522822010.06355166,142190990.74325442,122500000.0,19690990.743254423,169881184.50953323,0.0,-150190193.7662788,0.0,137465152.96487337,0.43840905325538,167867645.89699996
2032,646913239.6125622,237269279.54084587,35122097.300454155,73500000.0,30320.36853671206,523122883.2189764,123790356.3935858,122500000.0,1290356.3935858011,161853947.00490388,0.0,-160563590.61131808,0.0,123480670.85912521,0.42429203750152983,177231506.37767637
2033,628125089.8524961,229192467.7285689,33926516.604557894,73500000.0,29439.781172030343,522083941.7713766,106041148.08111954,122500000.0,-16458851.918880463,153337048.01249218,0.0,-169795899.93137264,0.0,109991272.54165085,0.4098488405272773,185464957.43824983
2034,608629881.0439831,220930392.75209218,32703512.085013647,73500000.0,28526.054447055158,519665350.3427247,88964530.70125842,122500000.0,-33535469.29874158,144300618.18154335,0.0,-177836087.48028493,0.0,97013043.3329564,0.39507435040978933,192531445.50561878
2035,588408473.2825519,212480157.02931312,31452654.823418062,73500000.0,27578.291287925935,520235228.93637717,68173244.34617472,122500000.0,-54326755.65382528,134712966.13090664,0.0,-189039721.78473192,0.0,81211665.70309278,0.37996338560589904,202802417.08364603
2036,567441245.8054769,203838823.55280328,30173510.065382063,73500000.0,26595.5720832939,518984797.3242818,48456448.48119509,122500000.0,-74043551.51880491,124540467.30518109,0.0,-198584018.823986,0.0,66226900.845708266,0.3645106940708899,211472463.7060965
2037,541650776.0985423,193553575.87142417,28651022.744125284,73500000.0,25386.790907757146,512570801.5403131,29079974.558229208,122500000.0,-93420025.44177079,113747446.05108629,0.0,-207167471.4928571,0.0,51500780.6642542,0.3461183058806228,216866202.9247637
2038,514949186.83997643,183042239.35406217,27095068.32543683,73500000.0,24135.30619966784,503917897.34749484,11031289.49248159,122500000.0,-111468710.50751841,102296050.5004917,0.0,-213764761.0080101,0.0,37783780.01428601,0.3273216188571433,220280589.66799584
2039,266768944.11860478,94322786.60591981,13962254.596271023,73500000.0,12503.272779932413,303125387.12944186,-36356443.01083708,122500000.0,-158856443.01083708,90146119.82131083,0.0,-249002562.8321479,0.0,1769103.311763823,0.16867083420699733,121340345.92725107
2040,0.0,0.0,0.0,73500000.0,0.0,73500000.0,-73500000.0,122500000.0,-196000000.0,77255043.37069994,0.0,-273255043.37069994,0.0,-26460000.0,0.0,0.0
