year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,877947702.8159763,556039839.4165158,49384558.283398665,73500000.0,556956.3840237098,678924397.6999145,199023305.1160618,118333333.33333333,80689971.78272848,142000000.0,0.0,-61310028.21727152,4179237.4999999995,174671574.6703797,0.59694,0.5965615506196839,0.0,0.854995688249101
2026,877846953.209088,556016677.2647045,49378891.1180112,73500000.0,569405.1909118644,678895568.3827157,198951384.82637227,118333333.33333333,80618051.49303894,137705552.61892185,0.0,-57087501.12588291,4275975.000000001,174520896.95311254,0.59688,0.5964930917108937,0.0,0.8542556006255028
2027,877746206.2001584,555993507.4285752,49373224.098758906,73500000.0,581851.3998417844,678866731.5273341,198879474.67282426,118333333.33333333,80546141.33949094,133196382.86878978,0.0,-52650241.52929884,4372712.5,174370226.83795154,0.59682,0.5964246345674048,0.0,0.8535155574803299
2028,877645461.7891612,555970329.9084725,49367557.22564032,73500000.0,594295.0108385868,678837887.1341128,198807574.65504837,118333333.33333333,80474241.32171504,128461754.63115111,0.0,-47987513.30943607,4469450.0,174219564.3246196,0.59676,0.5963561791891997,0.0,0.8527755588119612
2029,877544719.9760723,555947144.7047416,49361890.49865407,73500000.0,606736.0239275846,678809035.2033956,198735684.7726767,118333333.33333333,80402351.43934338,123490394.9816305,0.0,-43088043.542287126,4566187.5,174068909.41284084,0.5967,0.5962877255762614,0.0,0.8520356046187825
2030,877443980.7608659,555923951.8177272,49356223.91779871,73500000.0,619174.4391339927,678780175.735526,198663805.02533996,118333333.33333333,80330471.69200663,118270467.34963387,0.0,-37939995.65762724,4662925.0,173918262.1023383,0.59664,0.5962192737285728,0.0,0.8512956948991731
2031,877361525.0956125,555923229.0598879,49351585.78662821,73500000.0,639819.5443874729,678774814.8465161,198586710.2490964,118333333.33333333,80253376.91576307,112789543.3360374,0.0,-32536166.420274332,4826047.5,173697318.5201556,0.596598,0.5961632454715784,0.0,0.8502415969328142
2032,877279072.5728244,555922498.6097693,49346947.832221374,73500000.0,660461.5071756067,678769446.4419907,198509626.13083363,118333333.33333333,80176292.7975003,107034573.12176111,0.0,-26858280.324260816,4989170.0,173476382.93145853,0.596556,0.5961072193498752,0.0,0.8491875457347646
2033,877196623.1924533,555921760.4678946,49342310.054575495,73500000.0,681100.3275466793,678764070.52247,198432552.66998327,118333333.33333333,80099219.33664994,100991854.39677101,0.0,-20892635.060121074,5152292.5,173255455.3358208,0.596514,0.5960511953634304,0.0,0.8481335413025303
2034,877114176.9544507,555921014.6347865,49337672.453687854,73500000.0,701736.0055492681,678758687.0884744,198355489.86597633,118333333.33333333,80022156.532643,94646999.73553139,0.0,-14624843.202888384,5315414.999999999,173034535.73281556,0.596472,0.595995173512211,0.0,0.8470795836336142
2035,877031733.8587682,555920261.1109679,49333035.02955571,73500000.0,722368.5412319506,678753296.1405236,198278437.71824467,118333333.33333333,79945104.38491134,87984902.3412298,0.0,-8039797.956318453,5478537.499999999,172813624.12201685,0.59643,0.595939153796184,0.0,0.8460256727255236
2036,876949293.9053566,555919499.8969613,49328397.782176316,73500000.0,742997.9346432069,678747897.6791377,198201396.22621894,118333333.33333333,79868062.89288561,80989700.07721312,0.0,-1121637.184327513,5641659.999999999,172592720.50299752,0.5963879999999999,0.5958831362153163,0.0,0.8449718085757599
2037,876866857.0941685,555918730.99329,49323760.71154698,73500000.0,763624.1858314197,678742491.704837,198124365.38933158,118333333.33333333,79791032.05599825,73644737.69999562,1536573.5890006572,4609720.767001972,5804782.5,172371824.875332,0.5963459999999999,0.5958271207695752,0.0,0.8371753491843266
2038,876784423.4251548,555917954.4004763,49319123.81766496,73500000.0,784247.2948451662,678737078.2181413,198047345.2070135,118333333.33333333,79714011.87368016,65932527.203917235,3445371.167440731,10336113.502322193,5967905.0,172150937.23859346,0.596304,0.5957711074589277,0.0,0.8277455796268895
2039,876701992.8982669,555917170.1190432,49314487.10052751,73500000.0,804867.2617329267,678731657.2195708,197970335.67869616,118333333.33333333,79637002.34536283,57834706.183034934,5450574.040581973,16351722.12174592,6131027.5,171930057.59235543,0.596262,0.5957150962833409,0.0,0.8178928205313181
2040,876619565.513457,555916378.1495137,49309850.56013195,73500000.0,825484.0865430839,678726228.7096456,197893336.8038113,118333333.33333333,79560003.47047798,49331994.11110852,7557002.339842366,22671007.0195271,6294150.0,171709185.9361918,0.59622,0.5956590872427816,0.0,0.8075959206656784
2041,876537141.2706758,555915578.4924103,49305214.19647551,73500000.0,846097.7693242149,678720792.6888858,197816348.58178997,118333333.33333333,79483015.24845664,40404146.43558578,9769717.203217715,29309151.609653145,6457272.5,171488322.2696758,0.596178,0.5956030803372172,0.0,0.7968326712365315
2042,876454720.1698755,555914771.1482558,49300578.0095555,73500000.0,866708.3101246052,678715349.1578113,197739371.01206422,118333333.33333333,79406037.67873089,31029906.37628691,12094032.825610995,36282098.476832986,6620395.0,171267466.59238148,0.596136,0.5955470755666146,0.0,0.7855797530108632
2043,876372302.211007,555913956.1175728,49295941.999369144,73500000.0,887315.7089929295,678709898.1169419,197662404.09406507,118333333.33333333,79329070.76073174,21186954.314023092,14535529.111677162,43606587.33503149,6783517.5,171046618.90388215,0.596094,0.5954910729309408,0.0,0.7738126807940992
2044,876289887.3940222,555913133.4008843,49291306.165913746,73500000.0,907919.9659776681,678704439.566798,197585447.82722425,118333333.33333333,79252114.49389093,10851854.64864608,17100064.96131121,51300194.88393363,6946640.000000001,170825779.2037515,0.5960519999999999,0.5954350724301629,0.0,0.7615057451320315
2045,876207475.7188727,555912302.9987129,49286670.50918659,73500000.0,928521.0811273009,678698973.5078995,197508502.21097314,118333333.33333333,79175168.87763982,0.0,19793792.219409954,59381376.65822986,7109762.500000001,170604947.4915632,0.5960099999999999,0.5953790740642481,0.0,0.0
