year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,carbon_costs
2025,1225909440.0,465845587.20000005,68957406.0,73500000.0,25018560.0,608302993.2,617606446.8,122500000.0,495106446.79999995,209230000.0,68610347.232,217266099.56799996,0.0,498780899.56799996,0.85,0.0
2026,1207582093.872,461187131.328,68267831.94,73500000.0,24644532.527999997,602954963.268,604627130.604,122500000.0,482127130.604,203603040.24028915,66845781.687290594,211678308.6764202,0.0,488916619.25904,0.8415,0.0
2027,1189558779.4146671,456575260.01471996,67585153.6206,73500000.0,24276709.783972796,597660413.63532,591898365.7793472,122500000.0,469398365.7793472,197632835.93523595,65223727.16258669,206541802.68152452,0.0,479242757.99230385,0.833085,0.0
2028,1171834053.222928,452009507.41457283,66909302.084394,73500000.0,23914980.678018942,592418809.4989668,579415243.7239612,122500000.0,456915243.72396123,191298449.1675745,63748030.69353282,201868763.8628539,0.0,469755585.23021054,0.82475415,0.0
2029,1154402574.1472182,447489412.34042704,66240209.06355005,73500000.0,23559236.20708609,587229621.4039772,567172952.7432411,122500000.0,444672952.7432411,184577664.8070857,62422869.10467729,197672418.8314781,0.0,460451444.08486325,0.8165066084999999,0.0
2030,1137259101.319281,443014518.2170227,65577806.97291455,73500000.0,23209369.414679207,582092325.1899372,555166776.1293439,122500000.0,432666776.12934387,177446912.60060704,61252767.24689683,193967096.28184,0.0,451326749.85830134,0.8083415424149999,0.0
2031,1120398492.216644,438584373.0348526,64922028.90318541,73500000.0,22865275.351360083,577006401.9380381,543392090.2786059,122500000.0,420892090.27860594,169881184.50953323,60242617.384577446,190768288.38449526,0.0,442377988.6117405,0.80025812699085,0.0
2032,1103815700.765013,434198529.30450404,64272808.61415355,73500000.0,22526851.036020674,571971337.9186575,531844362.84635544,122500000.0,409344362.84635544,161853947.00490388,59397699.80194837,188092716.0395032,0.0,433601715.76323014,0.7922555457209414,0.0
2033,1087505775.4778347,429856544.011459,63630080.528012015,73500000.0,22193995.417914998,566986624.539471,520519150.9383637,122500000.0,398019150.9383637,153337048.01249218,58723704.70220915,185958398.22366235,0.0,424994554.7131564,0.784332990263732,0.0
2034,1071463857.632291,425557978.5713444,62993779.7227319,73500000.0,21866609.33943451,562051758.2940762,509412099.33821476,122500000.0,386912099.33821476,144300618.18154335,58226755.47760113,184384725.67907026,0.0,416553195.4970432,0.7764896603610947,0.0
2035,1055685179.4810088,421302398.78563094,62363841.92550458,73500000.0,21544595.499612425,557166240.7111355,498518938.76987326,122500000.0,376018938.76987326,134712966.13090664,57913433.433351986,183392539.20561463,0.0,408274393.4651037,0.7687247637574838,0.0
2036,1040165062.498781,417089374.7977746,61740203.50624953,73500000.0,21227858.418342467,552329578.3040242,487835484.19475675,122500000.0,365335484.19475675,124540467.30518109,57790804.05349816,183004212.8360775,0.0,400154967.9880151,0.7610375161199089,0.0
2037,1024898915.6636051,412918481.0497969,61122801.47118703,73500000.0,20916304.401298065,547541282.5209839,477357633.14262116,122500000.0,354857633.14262116,113747446.05108629,57866444.90196836,183243742.1895665,0.0,392191801.1883921,0.7534271409587098,0.0
2038,1009882233.7713639,408789296.2392989,60511573.45647516,73500000.0,20609841.505538035,542800869.6957741,467081364.0755898,122500000.0,344581364.0755898,102296050.5004917,58148475.25802354,184136838.31707457,0.0,384381836.69744825,0.7458928695491226,0.0
2039,995110595.7834836,404701403.27690595,59906457.72191041,73500000.0,20308379.50578538,538107860.9988164,457002734.78466725,122500000.0,334502734.78466725,90146119.82131083,58645587.591205545,185711027.3721509,0.0,376722078.4363471,0.7384339408536315,0.0
2040,980579663.2069205,400654389.24413687,59307393.14469131,73500000.0,20011829.861365724,533461782.38882816,447117880.81809235,122500000.0,324617880.81809235,77255043.37069994,59367080.98737417,187995756.46001822,0.0,369209589.4217502,0.7310496014450951,0.0
2041,966285178.5058353,396647845.3516955,58714319.21324439,73500000.0,19720105.683792558,528862164.56493986,437423013.94089544,122500000.0,314923013.94089544,63577611.256601796,60322896.64423047,191022506.04006314,0.0,361841490.5950805,0.7237391054306441,0.0
2042,952222963.5443349,392681366.8981786,58127176.02111195,73500000.0,19433121.704986427,524308542.91929054,427914420.62504435,122500000.0,305414420.62504435,49065855.78354365,61523655.56196017,194824909.27954054,0.0,354614959.6750337,0.7165017143763377,0.0
