year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr,water_temp_disruption,lost_revenue_from_water_temp
2025,882934166.9119023,558298850.7498181,49665046.888794504,73500000.0,30772.828800000003,681463897.6386126,201470269.27328968,88750000.0,112720269.27328968,142000000.0,0.0,-29279730.72671032,0.0,173290201.95496726,0.6,0.5999790899999999,0.0,0.8840721385394041,4.8767123287671185e-05,43060.25929766395
2026,882931481.1007972,558491467.0753099,49664895.811919846,73500000.0,31523.3856,681656362.8872297,201275118.2135675,88750000.0,112525118.2135675,137705552.61892185,0.0,-25180434.40535435,0.0,173143838.66017562,0.6,0.59997858,0.0,0.8832157957384086,5.095890410958904e-05,44995.513602816
2027,882928795.292982,558684285.866818,49664744.73523024,73500000.0,32273.9424,681849030.6020482,201079764.69093382,88750000.0,112329764.69093382,133196382.86878978,0.0,-20866618.177855954,0.0,172997323.51820037,0.6,0.5999780699999999,0.0,0.8823585645094589,5.315068493150681e-05,46930.764617855966
2028,882926109.4884572,558877307.1224864,49664593.658725716,73500000.0,33024.4992,682041900.7812121,200884208.7072451,88750000.0,112134208.70724511,128461754.63115111,0.0,-16327545.923905998,0.0,172850656.53043383,0.6,0.59997756,0.0,0.8815004448607014,5.5342465753424665e-05,48866.01234278401
2029,882923423.6872222,559070530.8404586,49664442.58240625,73500000.0,33775.056,682234973.4228649,200688450.26435733,88750000.0,111938450.26435733,123490394.9816305,0.0,-11551944.717273176,0.0,172703837.698268,0.6,0.59997705,0.0,0.8806414368002805,5.753424657534243e-05,50801.25677759996
2030,882920737.8892778,559263957.0188789,49664291.50627188,73500000.0,34525.612799999995,682428248.5251508,200492489.36412704,88750000.0,111742489.36412704,118270467.34963387,0.0,-6527977.985506833,0.0,172556867.02309528,0.6,0.59997654,0.0,0.8797815403363427,5.972602739726029e-05,52736.49792230401
2031,882919566.8068374,559362576.2838835,49664225.63288461,73500000.0,34825.83551999999,682526801.9167681,200392764.89006937,88750000.0,111642764.89006937,112789543.3360374,0.0,-1146778.4459680319,0.0,172482073.66755202,0.6,0.599976336,0.0,0.8793439391490167,6.071232876712324e-05,53607.35764242428
2032,882918395.7249897,559461263.709972,49664159.75953066,73500000.0,35126.05824,682625423.4695027,200292972.25548697,88750000.0,111542972.25548697,107034573.12176111,1127099.783431463,3381299.350294389,0.0,172407229.19161522,0.6,0.599976132,0.0,0.873960209789525,6.16986301369863e-05,54478.21677032447
2033,882917224.643734,559560019.2968729,49664093.88621003,73500000.0,35426.28096,682724113.1830829,200193111.46065104,88750000.0,111443111.46065104,100991854.39677101,2612814.2659700066,7838442.79791002,0.0,172332333.59548828,0.6,0.599975928,0.0,0.8670025433738308,6.268493150684934e-05,55349.07530600451
2034,882916053.5630704,559658843.0443134,49664028.01292271,73500000.0,35726.503679999994,682822871.0572362,200093182.50583422,88750000.0,111343182.50583422,94646999.73553139,4174045.692575708,12522137.077727124,0.0,172257386.87937567,0.6,0.599975724,0.0,0.8597132017942599,6.36712328767123e-05,56219.933249464295
2035,882914882.4829994,559757734.9520222,49663962.13966872,73500000.0,36026.7264,682921697.0916909,199993185.39130855,88750000.0,111243185.39130855,87984902.3412298,5814570.762519687,17443712.287559062,0.0,172182389.0434814,0.6,0.59997552,0.0,0.8520756125094999,6.465753424657535e-05,57090.790600704015
2036,882913711.4035202,559856695.0197264,49663896.26644801,73500000.0,36326.94912,683020591.2861744,199893120.1173458,88750000.0,111143120.11734581,80989700.07721312,7538355.010033172,22615065.030099515,0.0,172107340.08800936,0.6,0.599975316,0.0,0.8440723743511276,6.56438356164384e-05,57961.64735972356
2037,882912540.3246334,559955723.2471545,49663830.39326063,73500000.0,36627.171839999995,683119553.6404151,199792986.6842183,88750000.0,111042986.68421829,73644737.69999562,9349562.246055666,28048686.738167,0.0,172032240.01316372,0.6,0.599975112,0.0,0.8356852160922548,6.663013698630135e-05,58832.50352652286
2038,882911369.2463388,560054819.6340342,49663764.52010656,73500000.0,36927.39456,683218584.1541407,199692785.09219813,88750000.0,110942785.09219813,65932527.203917235,11252564.472070225,33757693.416210674,0.0,171957088.8191486,0.6,0.599974908,0.0,0.8268949529446041,6.761643835616441e-05,59703.359101102105
2039,882910198.1686366,560153984.1800938,49663698.64698581,73500000.0,37227.61727999999,683317682.8270795,199592515.34155703,88750000.0,110842515.34155703,57834706.183034934,13251952.289630523,39755856.86889157,0.0,171881886.50616777,0.6,0.599974704,0.0,0.8176814408804379,6.860273972602736e-05,60574.214083461084
2040,882909027.0915264,560253216.8850607,49663632.77389836,73500000.0,37527.840000000004,683416849.658959,199492177.43256736,88750000.0,110742177.43256736,49331994.11110852,15352545.83036471,46057637.49109413,0.0,171806633.07442552,0.6,0.5999745,0.0,0.8080235286705894,6.95890410958904e-05,61445.0684736
2041,882907856.0150084,560352517.7486632,49663566.900844224,73500000.0,37828.06272,683516084.6495074,199391771.36550105,88750000.0,110641771.36550105,40404146.43558578,17559406.232478816,52678218.69743645,0.0,171731328.52412578,0.6,0.599974296,0.0,0.7978990075243865,7.057534246575346e-05,62315.92227151876
2042,882906684.9390827,560451886.7706289,49663501.0278234,73500000.0,38128.28544000001,683615387.7984524,199291297.14063036,88750000.0,110541297.14063036,31029906.37628691,19877847.691085864,59633543.073257595,0.0,171655972.85547277,0.6,0.599974092,0.0,0.7872845582115807,7.156164383561641e-05,63186.77547721725
2043,882905513.8637494,560551323.9506863,49663435.1548359,73500000.0,38428.50816,683714759.1055223,199190754.7582271,88750000.0,110440754.75822711,21186954.314023092,22313450.111051004,66940350.33315301,0.0,171580566.06867033,0.6,0.599973888,0.0,0.7761556955403645,7.254794520547946e-05,64057.62809069569
2044,882904342.789008,560650829.2885628,49663369.281881705,73500000.0,38728.73088,683814198.5704445,199090144.21856356,88750000.0,110340144.21856356,10851854.64864608,24872072.392479368,74616217.17743811,0.0,171505108.16392267,0.6,0.599973684,0.0,0.7644867100592964,7.35342465753425e-05,64928.48011195395
2045,882902978.1874132,560750279.8706291,49663292.52304199,73500000.0,39028.95360000001,683913572.393671,198989405.79374218,88750000.0,110239405.79374218,0.0,27559851.448435545,82679554.34530663,0.0,171429554.34530663,0.6,0.59997348,0.0,0.0,7.473972602739725e-05,65992.85898670078
2046,882901458.7646384,560849700.2177906,49663207.055510916,73500000.0,39329.17632,684012907.2733015,198888551.49133694,88750000.0,110138551.49133694,0.0,27534637.872834235,82603913.6185027,0.0,171353913.6185027,0.6,0.5999732759999999,0.0,0.0,7.612054794520552e-05,67212.05904154833
2047,882899939.3426926,560949188.6428225,49663121.588026464,73500000.0,39629.399040000004,684112310.230849,198787629.1118436,88750000.0,110037629.11184359,0.0,27509407.277960896,82528221.83388269,0.0,171278221.8338827,0.6,0.5999730719999999,0.0,0.0,7.750136986301366e-05,68431.25826728751
2048,882898419.921576,561048745.1453719,49663036.12058865,73500000.0,39929.62176,684211781.2659606,198686638.65561545,88750000.0,109936638.65561545,0.0,27484159.663903862,82452478.99171159,0.0,171202478.9917116,0.6,0.599972868,0.0,0.0,7.888219178082192e-05,69650.4566639186
2049,882896900.5012884,561148369.7250856,49662950.653197475,73500000.0,40229.84448,684311320.3782831,198585580.12300527,88750000.0,109835580.12300527,0.0,27458895.030751318,82376685.09225395,0.0,171126685.09225395,0.6,0.5999726639999999,0.0,0.0,8.026301369863019e-05,70869.65423144145
2050,882895381.08183,561248062.381611,49662865.18585294,73500000.0,40530.067200000005,684410927.5674639,198484453.51436615,88750000.0,109734453.51436615,0.0,27433613.378591537,82300840.13577461,0.0,171050840.1357746,0.6,0.5999724599999999,0.0,0.0,8.164383561643833e-05,72088.85096985596
2051,882894580.7317243,561300801.4549876,49662820.16615949,73500000.0,40680.17856,684463621.6211472,198430959.1105771,88750000.0,109680959.1105771,0.0,27420239.777644277,82260719.33293283,0.0,171010719.33293283,0.6,0.5999723579999999,0.0,0.0,8.238027397260276e-05,72739.089715745
2052,882893780.3818395,561353559.1992475,49662775.146478474,73500000.0,40830.28992,684516334.345726,198377446.0361135,88750000.0,109627446.0361135,0.0,27406861.509028375,82220584.52708513,0.0,170970584.52708513,0.6,0.599972256,0.0,0.0,8.311671232876708e-05,73389.32824053838
2053,882892980.0321757,561406335.6143394,49662730.12680988,73500000.0,40980.40128,684569065.7411492,198323914.29102647,88750000.0,109573914.29102647,0.0,27393478.57275662,82180435.71826985,0.0,170930435.71826985,0.6,0.5999721539999999,0.0,0.0,8.385315068493152e-05,74039.56654423634
2054,882892179.682733,561459130.7002127,49662685.107153736,73500000.0,41130.51264000001,684621815.8073665,198270363.87536657,88750000.0,109520363.87536657,0.0,27380090.968841642,82140272.90652493,0.0,170890272.90652493,0.6,0.5999720519999999,0.0,0.0,8.458958904109594e-05,74689.80462683877
2055,882891379.3335116,561511944.4568161,49662640.08751003,73500000.0,41280.623999999996,684674584.5443261,198216794.78918552,88750000.0,109466794.78918552,0.0,27366698.69729638,82100096.09188914,0.0,170850096.09188914,0.6,0.59997195,0.0,0.0,8.532602739726024e-05,75340.04248834559
2056,882890578.9845114,561564776.8840989,49662595.06787876,73500000.0,41430.735360000006,684727371.9519776,198163207.03253376,88750000.0,109413207.03253376,0.0,27353301.75813344,82059905.27440032,0.0,170809905.27440032,0.6,0.599971848,0.0,0.0,8.60624657534247e-05,75990.28012875697
2057,882889778.6357319,561617627.9820096,49662550.04825992,73500000.0,41580.84672,684780178.0302696,198109600.6054623,88750000.0,109359600.60546231,0.0,27339900.15136558,82019700.45409673,0.0,170769700.45409673,0.6,0.5999717459999999,0.0,0.0,8.6798904109589e-05,76640.5175480727
2058,882888978.2871736,561670497.7504977,49662505.02865352,73500000.0,41730.95808,684833002.7791512,198055975.50802243,88750000.0,109305975.50802243,0.0,27326493.877005607,81979481.63101682,0.0,170729481.63101682,0.6,0.599971644,0.0,0.0,8.753534246575344e-05,77290.75474629305
2059,882888177.9388367,561723386.1895121,49662460.00905956,73500000.0,41881.06944,684885846.1985717,198002331.740265,88750000.0,109252331.74026501,0.0,27313082.935066253,81939248.80519876,0.0,170689248.80519876,0.6,0.599971542,0.0,0.0,8.827178082191774e-05,77940.99172341774
