year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,735619335.742439,464872522.83579725,41378587.635512196,73500000.0,220664.25756097568,579751110.4713094,155868225.2711296,118333333.33333333,37534891.93779628,142000000.0,0.0,-104465108.06220372,0.0,146484502.28668055,0.5,0.4998500596205962,0.0,0.6839657074109946
2026,735616432.2653658,464875983.68470186,41378424.31492683,73500000.0,223567.73463414639,579754407.9996287,155862024.26573718,118333333.33333333,37528690.93240385,137705552.61892185,0.0,-100176861.686518,0.0,146479851.53263623,0.5,0.4998480867208672,0.0,0.6839384967653834
2027,735613528.7882926,464879444.49180216,41378260.99434146,73500000.0,226471.21170731712,579757705.4861436,155855823.30214906,118333333.33333333,37522489.96881573,133196382.86878978,0.0,-95673892.89997405,0.0,146475200.80994514,0.5,0.4998461138211382,0.0,0.6839112863032139
2028,735610625.3112196,464882905.25709856,41378097.6737561,73500000.0,229374.6887804879,579761002.9308547,155849622.3803649,118333333.33333333,37516289.04703157,128461754.63115111,0.0,-90945465.58411954,0.0,146470550.118607,0.5,0.4998441409214092,0.0,0.6838840760244843
2029,735607721.8341464,464886365.9805906,41377934.35317074,73500000.0,232278.16585365857,579764300.3337613,155843421.50038505,118333333.33333333,37510088.16705172,123490394.9816305,0.0,-85980306.81457879,0.0,146465899.45862213,0.5,0.49984216802168024,0.0,0.6838568659291964
2030,735604818.3570732,464889826.6622784,41377771.03258537,73500000.0,235181.64292682934,579767597.6948638,155837220.6622094,118333333.33333333,37503887.32887606,118270467.34963387,0.0,-80766580.02075781,0.0,146461248.8299904,0.5,0.4998401951219512,0.0,0.6838296560173496
2031,735603511.7923902,464891383.9553992,41377697.53832195,73500000.0,236488.20760975615,579769081.4937212,155834430.29866898,118333333.33333333,37501096.96533565,112789543.3360374,0.0,-75288446.37070175,0.0,146459156.05733508,0.5,0.49983930731707316,0.0,0.6838174116168662
2032,735602205.2277074,464892941.2400549,41377624.04405854,73500000.0,237794.77229268302,579770565.2841134,155831639.94359398,118333333.33333333,37498306.61026065,107034573.12176111,0.0,-69536266.51150046,0.0,146457063.29102883,0.5,0.4998384195121951,0.0,0.6838051672535299
2033,735600898.6630244,464894498.5162452,41377550.54979513,73500000.0,239101.33697560983,579772049.0660403,155828849.59698415,118333333.33333333,37495516.26365082,100991854.39677101,0.0,-63496338.133120194,0.0,146454970.53107145,0.5,0.4998375317073171,0.0,0.6837929229273396
2034,735599592.0983415,464896055.78397006,41377477.0555317,73500000.0,240407.90165853663,579773532.8395017,155826059.25883973,118333333.33333333,37492725.9255064,94646999.73553139,0.0,-57154273.81002499,0.0,146452877.77746314,0.5,0.49983664390243904,0.0,0.6837806786382965
