year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,882740154.24,557850661.2970499,49654133.676,73500000.0,267845.76,681004794.9730499,201735359.26695013,118333333.33333333,83402025.9336168,142000000.0,0.0,-58597974.0663832,0.0,180884852.7835459,0.6,0.599818,0.0,0.8852353805326081
2026,882726614.7839999,558025195.64403,49653372.081599995,73500000.0,281385.216,681178567.7256299,201548047.05837,118333333.33333333,83214713.72503667,137705552.61892185,0.0,-54490838.89388518,0.0,180744368.62711084,0.6,0.5998087999999999,0.0,0.8844134354118153
2027,882713075.3280001,558199724.3744404,49652610.4872,73500000.0,294924.672,681352334.8616405,201360740.46635962,118333333.33333333,83027407.13302629,133196382.86878978,0.0,-50168975.73576349,0.0,180603888.68310302,0.6,0.5997996,0.0,0.8835915149371049
2028,882699535.872,558374247.488281,49651848.8928,73500000.0,308464.12799999997,681526096.381081,201173439.490919,118333333.33333333,82840106.15758567,128461754.63115111,0.0,-45621648.473565444,0.0,180463412.9515226,0.6,0.5997904,0.0,0.8827696191084767
2029,882685996.416,558548764.9855517,49651087.2984,73500000.0,322003.58400000003,681699852.2839518,200986144.13204825,118333333.33333333,82652810.79871492,123490394.9816305,0.0,-40837584.18291558,0.0,180322941.43236953,0.6,0.5997812,0.0,0.8819477479259313
2030,882672456.9599999,558723276.8662525,49650325.703999996,73500000.0,335543.04000000004,681873602.5702525,200798854.38974738,118333333.33333333,82465521.05641405,118270467.34963387,0.0,-35804946.29321982,0.0,180182474.12564385,0.6,0.599772,0.0,0.8811259013894689
2031,882672015.456,558784915.5515994,49650300.869399995,73500000.0,335984.544,681935216.4209994,200736799.03500056,118333333.33333333,82403465.70166723,112789543.3360374,0.0,-30386077.634370163,0.0,180135932.60958374,0.6,0.5997717,0.0,0.8808535961487168
2032,882671573.952,558846554.1750046,49650276.0348,73500000.0,336426.048,681996830.2098047,200674743.74219537,118333333.33333333,82341410.40886204,107034573.12176111,0.0,-24693162.712899074,0.0,180089391.13997984,0.6,0.5997714,0.0,0.880581291179771
2033,882671132.448,558908192.7364681,49650251.2002,73500000.0,336867.552,682058443.936668,200612688.51133192,118333333.33333333,82279355.17799859,100991854.39677101,0.0,-18712499.218772426,0.0,180042849.71683228,0.6,0.5997711,0.0,0.8803089864826318
2034,882670690.944,558969831.2359898,49650226.365600005,73500000.0,337309.056,682120057.6015898,200550633.3424102,118333333.33333333,82217300.00907688,94646999.73553139,0.0,-12429699.726454511,0.0,179996308.340141,0.6,0.5997707999999999,0.0,0.8800366820572993
2035,882670249.44,559031469.6735699,49650201.531,73500000.0,337750.56000000006,682181671.2045699,200488578.23543012,118333333.33333333,82155244.9020968,87984902.3412298,0.0,-5829657.439133003,0.0,179949767.00990593,0.6,0.5997705,0.0,0.879764377903773
2036,882669807.9359999,559093108.0492079,49650176.696399994,73500000.0,338192.06399999995,682243284.745608,200426523.1903919,118333333.33333333,82093189.85705857,80989700.07721312,275872.4449613616,827617.3348840848,0.0,179903225.72612727,0.6,0.5997701999999999,0.0,0.8782815175302162
2037,882669366.4319999,559154746.3629045,49650151.8618,73500000.0,338633.568,682304898.2247045,200364468.20729542,118333333.33333333,82031134.87396209,73644737.69999562,2096599.2934916168,6289797.880474851,0.0,179856684.48880488,0.6,0.5997699,0.0,0.8700196783700596
2038,882668924.928,559216384.6146593,49650127.0272,73500000.0,339075.072,682366511.6418593,200302413.28614068,118333333.33333333,81969079.95280735,65932527.203917235,4009138.187222529,12027414.561667588,0.0,179810143.29793882,0.6,0.5997695999999999,0.0,0.8613549588411217
