scenario,overall_rating,rating_numeric,spread_bps,is_investment_grade,is_distressed,policy_industry_rating,profitability_rating,coverage_rating,dscr_rating,net_debt_leverage_rating,equity_leverage_rating,asset_leverage_rating,capacity_mw,ebitda_to_fixed_assets,ebitda_to_interest,dscr,net_debt_to_ebitda,debt_to_equity,debt_to_assets,is_ebitda_negative,rating_rationale
baseline,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.595401958986039,1.3988504897465097,0.8366746916567335,14.197453621097322,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.837 < 1.0)
moderate_transition,BBB,4,250,True,False,AA,BBB,BB,CC,B,BB,BBB,2100.0,4.3185112455619725,1.0796278113904931,0.6512830148808251,18.42490255344687,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.651 < 1.0)
aggressive_transition,BB,5,400,False,False,AA,BB,B,C,CCC,BB,BBB,2100.0,2.4031619476567965,0.6007904869141991,0.3548542686018834,33.18947517582159,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.355 < 1.0)
moderate_physical,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.5904278950543755,1.3976069737635939,0.8356393261518138,14.21017473112796,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.836 < 1.0)
high_physical,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.56642063357231,1.3916051583930777,0.8306326986885798,14.271892687646053,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.831 < 1.0)
combined_moderate,BBB,4,250,True,False,AA,BBB,BB,CC,B,BB,BBB,2100.0,4.314791972323541,1.0786979930808853,0.6502789225008749,18.440870686963738,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.650 < 1.0)
combined_aggressive,BB,5,400,False,False,AA,BB,B,C,CCC,BB,BBB,2100.0,2.3928416573566667,0.5982104143391667,0.34934097241717954,33.333052184645894,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.349 < 1.0)
low_demand,BB,5,400,False,False,AA,BB,B,CC,CCC,BB,BBB,2100.0,2.6243999923407704,0.6560999980851926,0.5941646180028536,30.383158144138662,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.594 < 1.0)
severe_drought,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.56642063357231,1.3916051583930777,0.8306326986885798,14.271892687646053,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.831 < 1.0)
enhanced_11th_plan,D,10,5000,False,True,AA,CC,CC,D,CC,BB,BBB,2100.0,-2.186499612850342,-0.5466249032125855,-0.4785059238286903,999.0,400.0,80.0,True,Overall D: DSCR negative (-0.479)
enhanced_combined,D,10,5000,False,True,AA,CC,CC,D,CC,BB,BBB,2100.0,-2.1890932022753646,-0.547273300568841,-0.47925523020123856,999.0,400.0,80.0,True,Overall D: DSCR negative (-0.479)
