scenario,npv_million,irr_pct,avg_dscr,min_dscr,llcr,payback_years,expected_loss_pct,npv_loss_million,debt_spread_bps,equity_premium_pct,crp_bps,climate_risk_premium_bps,wacc_baseline_pct,wacc_adjusted_pct,overall_rating,rating_numeric,spread_bps,is_investment_grade,is_distressed,capacity_rating,profitability_rating,coverage_rating,dscr_rating,net_debt_leverage_rating,equity_leverage_rating,asset_leverage_rating,capacity_mw,ebitda_to_fixed_assets,ebitda_to_interest,dscr,net_debt_to_ebitda,debt_to_equity,debt_to_assets,is_ebitda_negative,rating_rationale,counterfactual_rating,counterfactual_spread_bps,scenario_rating_new,scenario_spread_bps_new,rating_migration,notch_change,counterfactual_crp_bps
baseline,4628.932547924261,16.512751962348315,2.9938896888365525,2.564541556916988,3.083274095915191,7.0,0.0,0.0,100,-0.5,-50.000000000000114,-50.000000000000114,6.75,6.249999999999999,AA,2,100,True,False,AAA,AAA,AA,AAA,AA,A,BBB,2100.0,26.210457418935256,6.138280425980153,2.9938896888365525,2.5706897510849926,233.33333333333334,70.0,False,"Overall AA: Weighted average (DSCR=AAA, Coverage=AA)",A,150,AA,100,Upgrade by 1 notch(es),-1,-50.00000000000004
moderate_transition,3533.8072205727426,14.631675646271592,2.644365651530788,2.265501757681308,2.7216889569752922,8.0,30.84860077046531,1095.1253273515185,100,-0.5,-50.000000000000114,-50.000000000000114,6.75,6.249999999999999,AA,2,100,True,False,AAA,AAA,A,AAA,AA,A,BBB,2100.0,23.426406524065488,5.486277874488405,2.644365651530788,2.8880809900609545,233.33333333333334,70.0,False,"Overall AA: Weighted average (DSCR=AAA, Coverage=A)",A,150,AA,100,Upgrade by 1 notch(es),-1,-50.00000000000004
aggressive_transition,1368.716820017932,10.86018450047781,2.1068886852386486,1.816942058827788,2.1715073536797926,10.0,91.83706275792477,3260.215727906329,150,0.0,0.0,0.0,6.75,6.75,A,3,150,True,False,AAA,AAA,BBB,AA,A,A,BBB,2100.0,16.462229971834567,3.8553231784155892,2.1068886852386486,4.152157825505043,233.33333333333334,70.0,False,"Overall A: Weighted average (DSCR=AA, Coverage=BBB)",A,150,A,150,No change,0,0.0
moderate_physical,4597.077452017113,16.46272741247774,2.983676422125213,2.5573158399278855,3.0734685713273318,7.0,0.8973266452717849,31.85509590714836,100,-0.5,-50.000000000000114,-50.000000000000114,6.75,6.249999999999999,AA,2,100,True,False,AAA,AAA,AA,AAA,AA,A,BBB,2100.0,26.075761641826556,6.106735747500364,2.983676422125213,2.584485345491011,233.33333333333334,70.0,False,"Overall AA: Weighted average (DSCR=AAA, Coverage=AA)",A,150,AA,100,Upgrade by 1 notch(es),-1,-50.00000000000004
high_physical,4563.264350272103,16.39048251615398,2.9707087600561892,2.5451395349930195,3.0595162272128587,7.0,1.8498083845678248,65.66819765215779,100,-0.5,-50.000000000000114,-50.000000000000114,6.75,6.249999999999999,AA,2,100,True,False,AAA,AAA,AA,AAA,AA,A,BBB,2100.0,25.99458756824416,6.087725425818305,2.9707087600561892,2.5928682679125976,233.33333333333334,70.0,False,"Overall AA: Weighted average (DSCR=AAA, Coverage=AA)",A,150,AA,100,Upgrade by 1 notch(es),-1,-50.00000000000004
combined_moderate,3511.1073732614154,14.58997698204547,2.636726187493059,2.259126125043865,2.7138689147480104,8.0,31.48803308909424,1117.8251746628457,100,-0.5,-50.000000000000114,-50.000000000000114,6.75,6.249999999999999,AA,2,100,True,False,AAA,AAA,A,AAA,AA,A,BBB,2100.0,23.33726312057801,5.465401199198597,2.636726187493059,2.8994948267209772,233.33333333333334,70.0,False,"Overall AA: Weighted average (DSCR=AAA, Coverage=A)",A,150,AA,100,Upgrade by 1 notch(es),-1,-50.00000000000004
combined_aggressive,1328.27343223106,10.7580943444461,2.0904782945221645,1.8032465139402811,2.1547090615829485,10.0,92.97631311811834,3300.659115693201,150,0.0,0.0,0.0,6.75,6.75,A,3,150,True,False,AAA,AAA,BBB,AA,A,A,BBB,2100.0,16.320768994096518,3.822194143816515,2.0904782945221645,4.189013589085178,233.33333333333334,70.0,False,"Overall A: Weighted average (DSCR=AA, Coverage=BBB)",A,150,A,150,No change,0,0.0
low_demand,1993.8181221653272,12.695631984549948,2.102132622952359,1.6551142761153643,2.3278493939481844,8.0,74.2285753734911,2635.114425758934,150,0.0,0.0,0.0,6.75,6.75,A,3,150,True,False,AAA,AA,BBB,AA,A,A,BBB,2100.0,12.833689000517074,3.0055477752967388,2.102132622952359,5.354394289683946,233.33333333333334,70.0,False,"Overall A: Weighted average (DSCR=AA, Coverage=BBB)",A,150,A,150,No change,0,0.0
severe_drought,4606.771854080029,16.48536907621958,2.9874778542292733,2.5612863741457756,3.077744559662742,7.0,0.6242448970206355,22.160693844232558,100,-0.5,-50.000000000000114,-50.000000000000114,6.75,6.249999999999999,AA,2,100,True,False,AAA,AAA,AA,AAA,AA,A,BBB,2100.0,26.09348977317288,6.110887534700908,2.9874778542292733,2.5826614840904907,233.33333333333334,70.0,False,"Overall AA: Weighted average (DSCR=AAA, Coverage=AA)",A,150,AA,100,Upgrade by 1 notch(es),-1,-50.00000000000004
enhanced_11th_plan,-1890.741080903011,-8.17725098078439,0.6708199441803796,-0.33651421445075236,0.7735492656617309,,183.6527782768246,6519.673628827272,1500,2.5,1019.9999999999998,1019.9999999999998,6.75,16.95,CC,8,1500,False,True,AAA,BBB,BB,CC,B,A,BBB,2100.0,4.3353910341483965,1.015314059519531,0.6708199441803796,16.046179075574468,233.33333333333334,70.0,False,Overall CC: Distress-driven rating (critical metric in distress: CC),A,150,CC,1500,Downgrade by 5 notch(es),5,1020.0000000000001
