year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,514929673.3952,325411569.24293196,28964794.12848,73500000.0,158326.60480000003,427876363.371412,87053310.02378803,88750000.0,-1696689.976211965,142000000.0,0.0,-143696689.97621197,0.0,87477482.51784103,0.35,0.34989241777777774,0.0,0.3819988241305604
2026,514919481.52063996,325511930.4256938,28964220.835535996,73500000.0,168518.47936000003,427976151.2612298,86943330.25941014,88750000.0,-1806669.740589857,137705552.61892185,0.0,-139512222.3595117,0.0,87394997.6945576,0.35,0.3498854924444444,0.0,0.38151622168087723
2027,514909079.03232,325612154.19510716,28963635.695568,73500000.0,178920.96768,428075789.8906752,86833289.14164484,88750000.0,-1916710.8583551645,133196382.86878978,0.0,-135113093.72714496,0.0,87312466.85623363,0.35,0.34987842399999997,0.0,0.38103335000625765
2028,514898465.93024004,325712240.42011863,28963038.708576,73500000.0,189534.06976,428175279.12869465,86723186.80154538,88750000.0,-2026813.1984546185,128461754.63115111,0.0,-130488567.82960573,0.0,87229890.10115904,0.35,0.3498712124444444,0.0,0.38055020968177694
2029,514887642.21440005,325812188.9696751,28962429.874560002,73500000.0,200357.7856,428274618.8442351,86613023.37016493,88750000.0,-2136976.629835069,123490394.9816305,0.0,-125627371.61146557,0.0,87147267.5276237,0.35,0.34986385777777773,0.0,0.38006680128250964
2030,514876607.88479996,325911999.7127231,28961809.19352,73500000.0,211392.11520000006,428373808.9062431,86502798.97855687,88750000.0,-2247201.0214431286,118270467.34963387,0.0,-120517668.371077,0.0,87064599.23391765,0.35,0.34985636,0.0,0.37958312538353145
2031,514875153.791376,325947197.02572525,28961727.400764897,73500000.0,212846.20862400002,428408924.4264901,86466229.36488587,88750000.0,-2283770.6351141334,112789543.3360374,0.0,-115073313.97115153,0.0,87037172.0236644,0.35,0.34985537195,0.0,0.3794226541801112
2032,514873696.60742396,325982392.17801386,28961645.434167597,73500000.0,214303.39257600004,428444037.6121815,86429658.99524248,88750000.0,-2320341.0047575235,107034573.12176111,0.0,-109354914.12651864,0.0,87009744.24643186,0.35,0.34985438179999995,0.0,0.37926217965940684
2033,514872236.332944,326017585.1689387,28961563.2937281,73500000.0,215763.667056,428479148.4626668,86393087.87027717,88750000.0,-2356912.1297228336,100991854.39677101,0.0,-103348766.52649385,0.0,86982315.90270787,0.35,0.34985338954999995,0.0,0.37910170182427266
2034,514870772.96793604,326052775.9978492,28961480.9794464,73500000.0,217227.03206400006,428514256.97729564,86356515.9906404,88750000.0,-2393484.009359598,94646999.73553139,0.0,-97040483.74489099,0.0,86954886.9929803,0.35,0.3498523952,0.0,0.37894122067756303
