year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr,water_temp_disruption,lost_revenue_from_water_temp
2025,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,142000000.0,0.0,-28442451.200000048,0.0,173918161.59999996,0.6,0.6,0.0,0.8877462067004483,0.0,0.0
2026,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,137705552.61892185,0.0,-24148003.818921894,0.0,173918161.59999996,0.6,0.6,0.0,0.8877462067004483,0.0,0.0
2027,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,133196382.86878978,0.0,-19638834.068789825,0.0,173918161.59999996,0.6,0.6,0.0,0.8877462067004483,0.0,0.0
2028,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,128461754.63115111,0.0,-14904205.831151158,0.0,173918161.59999996,0.6,0.6,0.0,0.8877462067004483,0.0,0.0
2029,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,123490394.9816305,0.0,-9932846.181630552,0.0,173918161.59999996,0.6,0.6,0.0,0.8877462067004483,0.0,0.0
2030,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,118270467.34963387,0.0,-4712918.54963392,0.0,173918161.59999996,0.6,0.6,0.0,0.8877462067004483,0.0,0.0
2031,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,112789543.3360374,192001.36599063873,576004.0979719162,0.0,173918161.59999996,0.6,0.6,0.0,0.8869036850775504,0.0,0.0
2032,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,107034573.12176111,1630743.9195597097,4892231.758679129,0.0,173918161.59999996,0.6,0.6,0.0,0.8805903356651064,0.0,0.0
2033,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,100991854.39677101,3141423.6008072346,9424270.802421704,0.0,173918161.59999996,0.6,0.6,0.0,0.8739613187820402,0.0,0.0
2034,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,94646999.73553139,4727637.266117141,14182911.798351422,0.0,173918161.59999996,0.6,0.6,0.0,0.8670008510548207,0.0,0.0
2035,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,87984902.3412298,6393161.614692539,19179484.844077617,0.0,173918161.59999996,0.6,0.6,0.0,0.8596923599412403,0.0,0.0
2036,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,80989700.07721312,8141962.180696707,24425886.54209012,0.0,173918161.59999996,0.6,0.6,0.0,0.8520184442719808,0.0,0.0
2037,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,73644737.69999562,9978202.775001083,29934608.325003248,0.0,173918161.59999996,0.6,0.6,0.0,0.8439608328192584,0.0,0.0
2038,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,65932527.203917235,11906255.39902068,35718766.19706204,0.0,173918161.59999996,0.6,0.6,0.0,0.8355003407938998,0.0,0.0
2039,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,57834706.183034934,13930710.654241255,41792131.96272376,0.0,173918161.59999996,0.6,0.6,0.0,0.8266168241672732,0.0,0.0
2040,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,49331994.11110852,16056388.672222858,48169166.01666857,0.0,173918161.59999996,0.6,0.6,0.0,0.8172891317093154,0.0,0.0
2041,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,40404146.43558578,18288350.591103543,54865051.77331063,0.0,173918161.59999996,0.6,0.6,0.0,0.8074950546284596,0.0,0.0
2042,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,31029906.37628691,20631910.60592826,61895731.817784786,0.0,173918161.59999996,0.6,0.6,0.0,0.7972112736935612,0.0,0.0
2043,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,21186954.314023092,23092648.621494215,69277945.86448264,0.0,173918161.59999996,0.6,0.6,0.0,0.7864133037119178,0.0,0.0
2044,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,10851854.64864608,25676423.537838466,77029270.6135154,0.0,173918161.59999996,0.6,0.6,0.0,0.7750754352311922,0.0,0.0
2045,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2046,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2047,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2048,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2049,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2050,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2051,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2052,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2053,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2054,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2055,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2056,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2057,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2058,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2059,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2060,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2061,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2062,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2063,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
2064,883008000.0,557531251.2,49669200.0,73500000.0,0.0,680700451.2,202307548.79999995,88750000.0,113557548.79999995,0.0,28389387.199999988,85168161.59999996,0.0,173918161.59999996,0.6,0.6,0.0,0.0,0.0,0.0
