year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,514271046.5816441,324710738.81165016,28927746.37021748,73500000.0,816953.4183558829,427138485.18186766,87132561.39977646,118333333.33333333,-31200771.93355687,142000000.0,0.0,-173200771.93355685,3879854.166666666,91052900.216499,0.35,0.34944488379378946,0.0,0.450633156618449
2026,514257656.3722736,324702284.23345363,28926993.17094039,73500000.0,830343.6277263409,427129277.40439403,87128378.9678796,118333333.33333333,-31204954.365453735,139862696.21860072,0.0,-171067650.58405447,3943458.333333334,90986159.2259097,0.35,0.349435785206209,0.0,0.45026623895411916
2027,514244266.24256843,324693829.70555776,28926239.976144474,73500000.0,843733.7574315981,427120069.68170226,87124196.56086618,118333333.33333333,-31209136.77246715,137618527.24813148,0.0,-168827664.02059865,4007062.5000000005,90919418.25398296,0.35,0.3494266866727606,0.0,0.44989932142447925
2028,514230876.1925281,324685375.2279623,28925486.785829708,73500000.0,857123.8074718263,427110862.01379204,87120014.17873609,118333333.33333333,-31213319.154597238,135262149.82913882,0.0,-166475468.98373604,4070666.666666667,90852677.30071872,0.35,0.3494175881934443,0.0,0.4495324040295287
2029,514217486.222153,324676920.8006674,28924733.599996105,73500000.0,870513.777846968,427101654.4006635,87115831.82148951,118333333.33333333,-31217501.511843815,132787953.53919648,0.0,-164005455.0510403,4134270.8333333335,90785936.36611713,0.35,0.3494084897682601,0.0,0.44916548676926854
2030,514204096.33144313,324668466.4236732,28923980.418643676,73500000.0,883903.6685568519,427092446.84231687,87111649.48912627,118333333.33333333,-31221683.844207063,130190047.43475702,0.0,-161411731.2789641,4197875.000000001,90719195.45017803,0.35,0.34939939139720805,0.0,0.4487985696436977
2031,514196062.4352565,324663393.82162094,28923528.511983175,73500000.0,891937.5647435684,427086922.3336041,87109140.10165238,118333333.33333333,-31224193.231680945,127462246.02509561,0.0,-158686439.25677657,4236037.5,90679150.90957262,0.35,0.34939393240056016,0.0,0.4485784194330064
2032,514188028.5677492,324658321.2376769,28923076.606935892,73500000.0,899971.4322508057,427081397.84461284,87106630.72313637,118333333.33333333,-31226702.610196963,124598054.54495111,0.0,-155824757.1551481,4274200.000000001,90639106.3756856,0.35,0.3493884734233999,0.0,0.44835826927080263
2033,514179994.72892135,324653248.671841,28922624.703501828,73500000.0,908005.271078621,427075873.37534285,87104121.35357851,118333333.33333333,-31229211.97975482,121590653.49079938,0.0,-152819865.4705542,4312362.5,90599061.84851721,0.35,0.34938301446572717,0.0,0.44813811915708784
2034,514171960.91877306,324648176.1241133,28922172.801680982,73500000.0,916039.0812269573,427070348.9257943,87101611.99297875,118333333.33333333,-31231721.340354577,118432882.38394009,0.0,-149664603.72429466,4350525.000000001,90559017.32806739,0.35,0.349377555527542,0.0,0.4479179690918618
2035,514163927.1373042,324643103.5944939,28921720.90147336,73500000.0,924072.8626958142,427064824.49596727,87099102.64133692,118333333.33333333,-31234230.69199641,115117222.72173782,0.0,-146351453.41373423,4388687.500000001,90518972.81433602,0.35,0.34937209660884444,0.0,0.4476978190751235
2036,514155893.3845146,324638031.08298254,28921269.002878945,73500000.0,932106.615485421,427059300.0858615,87096593.29865307,118333333.33333333,-31236740.034680262,111635780.07642543,0.0,-142872520.11110568,4426850.000000001,90478928.30732313,0.35,0.3493666377096343,0.0,0.4474776691068733
