year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr,water_temp_disruption,lost_revenue_from_water_temp
2025,735778472.4265852,465249042.291515,41387539.07399542,73500000.0,25644.023999999998,580136581.3655105,155641891.06107473,88750000.0,66891891.061074734,142000000.0,0.0,-75108108.93892527,0.0,138918918.29580605,0.5,0.499982575,0.0,0.6829725297583832,4.8767123287671185e-05,35883.549414719964
2026,735776234.2506645,465409555.8960916,41387413.176599875,73500000.0,26269.488,580296969.0726914,155479265.17797303,88750000.0,66729265.17797303,137705552.61892185,0.0,-70976287.44094881,0.0,138796948.88347977,0.5,0.49998215,0.0,0.6822589107575541,5.095890410958904e-05,37496.26133568
2027,735773996.0774851,465570238.22234833,41387287.279358536,73500000.0,26894.951999999997,580457525.5017068,155316470.57577825,88750000.0,66566470.575778246,133196382.86878978,0.0,-66629912.29301153,0.0,138674852.93183368,0.5,0.499981725,0.0,0.6815445514000957,5.315068493150681e-05,39108.97051487997
2028,735771757.9070475,465731089.26873857,41387161.382271424,73500000.0,27520.415999999997,580618250.65101,155153507.25603747,88750000.0,66403507.25603747,128461754.63115111,0.0,-62058247.375113636,0.0,138552630.4420281,0.5,0.4999813,0.0,0.6808294516927971,5.5342465753424665e-05,40721.676952320006
2029,735769519.739352,465892109.03371555,41387035.485338554,73500000.0,28145.88,580779144.5190542,154990375.2202978,88750000.0,66240375.22029781,123490394.9816305,0.0,-57250019.76133269,0.0,138430281.41522336,0.5,0.499980875,0.0,0.680113611642447,5.753424657534243e-05,42334.38064799997
2030,735767281.5743982,466053297.51573247,41386909.588559896,73500000.0,28771.343999999994,580940207.1042924,154827074.47010577,88750000.0,66077074.47010577,118270467.34963387,0.0,-52193392.879528105,0.0,138307805.85257933,0.5,0.49998045,0.0,0.6793970312558315,5.972602739726029e-05,43947.081601920014
2031,735766305.6723647,466135480.2365696,41386854.69407051,73500000.0,29021.529599999994,581022334.9306401,154743970.7417246,88750000.0,65993970.74172461,112789543.3360374,0.0,-46795572.59431279,0.0,138245478.05629346,0.5,0.49998028,0.0,0.6790323635997275,6.071232876712324e-05,44672.79803535356
2032,735765329.7708247,466217719.75831,41386799.799608886,73500000.0,29271.7152,581104519.5579189,154660810.21290576,88750000.0,65910810.212905765,107034573.12176111,0.0,-41123762.90885535,0.0,138183107.65967932,0.5,0.49998011,0.0,0.6786674466974961,6.16986301369863e-05,45398.51397527039
2033,735764353.8697784,466300016.08072734,41386744.90517503,73500000.0,29521.9008,581186760.9859023,154577592.8838761,88750000.0,65827592.883876085,100991854.39677101,0.0,-35164261.51289493,0.0,138120694.66290706,0.5,0.49997994,0.0,0.6783022805501326,6.268493150684934e-05,46124.22942167042
2034,735763377.9692255,466382369.2035946,41386690.010768935,73500000.0,29772.0864,581269059.2143636,154494318.75486195,88750000.0,65744318.75486195,94646999.73553139,0.0,-28902680.98066944,0.0,138058239.06614646,0.5,0.49997977,0.0,0.6779368651586306,6.36712328767123e-05,46849.94437455359
2035,735762402.069166,466464779.12668496,41386635.116390586,73500000.0,30022.271999999997,581351414.2430756,154410987.82609034,88750000.0,65660987.826090336,87984902.3412298,0.0,-22323914.51513946,0.0,137995740.86956775,0.5,0.4999796,0.0,0.6775712005239858,6.465753424657535e-05,47575.65883392001
2036,735761426.1696004,466547245.84977204,41386580.22204002,73500000.0,30272.457599999998,581433826.071812,154327600.09778833,88750000.0,65577600.097788334,80989700.07721312,0.0,-15412099.97942479,0.0,137933200.07334125,0.5,0.49997943,0.0,0.6772052866471949,6.56438356164384e-05,48301.37279976963
2037,735760450.2705278,466629769.3726287,41386525.32771719,73500000.0,30522.6432,581516294.7003459,154244155.57018197,88750000.0,65494155.570181966,73644737.69999562,0.0,-8150582.129813656,0.0,137870616.67763647,0.5,0.49997926,0.0,0.6768391235292497,6.663013698630135e-05,49027.08627210239
2038,735759474.3719492,466712349.6950286,41386470.43342214,73500000.0,30772.828799999996,581598820.1284508,154160654.24349844,88750000.0,65410654.243498445,65932527.203917235,0.0,-521872.9604187906,0.0,137807990.68262383,0.5,0.49997909,0.0,0.6764727111711472,6.761643835616441e-05,49752.799250918426
2039,735758498.4738637,466794986.8167448,41386415.539154835,73500000.0,31023.014399999996,581681402.3558996,154077096.11796415,88750000.0,65327096.11796415,57834706.183034934,1873097.4837323036,5619292.451196911,0.0,137745322.0884731,0.5,0.49997892,0.0,0.6678867063223475,6.860273972602736e-05,50478.511736217566
2040,735757522.576272,466877680.73755056,41386360.644915305,73500000.0,31273.2,581764041.3824658,153993481.19380617,88750000.0,65243481.19380617,49331994.11110852,3977871.770674413,11933615.31202324,0.0,137682610.89535463,0.5,0.49997875,0.0,0.6582838307378143,6.95890410958904e-05,51204.223728
2041,735756546.6791737,466960431.45721936,41386305.75070352,73500000.0,31523.3856,581846737.2079229,153909809.47125077,88750000.0,65159809.47125077,40404146.43558578,6188915.758916248,18566747.276748743,0.0,137619857.10343808,0.5,0.49997858,0.0,0.648214383602502,7.057534246575346e-05,51929.935226265625
2042,735755570.7825689,467043238.97552407,41386250.8565195,73500000.0,31773.571200000002,581929489.8320436,153826080.95052528,88750000.0,65076080.950525284,31029906.37628691,8511543.643559594,25534630.93067878,0.0,137557060.71289396,0.5,0.49997841,0.0,0.6376550456860145,7.156164383561641e-05,52655.64623101438
2043,735754594.8864578,467126103.2922386,41386195.96236325,73500000.0,32023.756800000003,582012299.2546018,153742295.63185596,88750000.0,64992295.631855965,21186954.314023092,10951335.329458218,32854005.988374654,0.0,137494221.72389197,0.5,0.49997824,0.0,0.6265813317963939,7.254794520547946e-05,53381.35674224641
2044,735753618.99084,467209024.40713567,41386141.06823475,73500000.0,32273.9424,582095165.4753704,153658453.51546955,88750000.0,64908453.51546955,10851854.64864608,13514149.716705868,40542449.150117606,0.0,137431340.13660216,0.5,0.49997807,0.0,0.6149675324820492,7.35342465753425e-05,54107.06675996163
2045,735752481.8228445,467291899.89219093,41386077.102535,73500000.0,32524.128,582177976.994726,153574504.82811856,88750000.0,64824504.82811856,0.0,16206126.20702964,48618378.62108892,0.0,137368378.62108892,0.5,0.4999779,0.0,0.0,7.473972602739725e-05,54994.04915558399
2046,735751215.6371987,467374750.1814921,41386005.879592426,73500000.0,32774.31360000001,582260756.0610845,153490459.57611418,88750000.0,64740459.57611418,0.0,16185114.894028544,48555344.68208563,0.0,137305344.68208563,0.5,0.49997773,0.0,0.0,7.612054794520552e-05,56010.049201290276
2047,735749949.4522439,467457657.2023521,41385934.65668872,73500000.0,33024.499200000006,582343591.8590409,153406357.59320307,88750000.0,64656357.59320307,0.0,16164089.398300767,48492268.1949023,0.0,137242268.1949023,0.5,0.49997756,0.0,0.0,7.750136986301366e-05,57026.04855607293
2048,735748683.2679801,467540620.9544766,41385863.433823876,73500000.0,33274.6848,582426484.3883004,153322198.87967968,88750000.0,64572198.87967968,0.0,16143049.71991992,48429149.15975976,0.0,137179149.15975976,0.5,0.49997739,0.0,0.0,7.888219178082192e-05,58042.04721993217
2049,735747417.0844071,467623641.4375714,41385792.210997894,73500000.0,33524.87040000001,582509433.6485693,153237983.43583775,88750000.0,64487983.435837746,0.0,16121995.858959436,48365987.57687831,0.0,137115987.5768783,0.5,0.49997722,0.0,0.0,8.026301369863019e-05,59058.045192867874
2050,735746150.901525,467706718.6513425,41385720.98821078,73500000.0,33775.056000000004,582592439.6395533,153153711.2619717,88750000.0,64403711.26197171,0.0,16100927.815492928,48302783.446478784,0.0,137052783.44647878,0.5,0.49997705,0.0,0.0,8.164383561643833e-05,60074.04247487997
2051,735745483.9431036,467750667.8791564,41385683.471799575,73500000.0,33900.148799999995,582636351.350956,153109132.5921476,88750000.0,64359132.59214759,0.0,16089783.148036897,48269349.44411069,0.0,137019349.4441107,0.5,0.499976965,0.0,0.0,8.238027397260276e-05,60615.90809645416
2052,735744816.9848663,467794632.6660396,41385645.95539872,73500000.0,34025.2416,582680278.6214383,153064538.363428,88750000.0,64314538.363428,0.0,16078634.590857,48235903.772571,0.0,136985903.772571,0.5,0.49997688,0.0,0.0,8.311671232876708e-05,61157.77353378198
2053,735744150.026813,467838613.0119494,41385608.43900823,73500000.0,34150.3344,582724221.4509577,153019928.57585537,88750000.0,64269928.575855374,0.0,16067482.143963844,48202446.43189153,0.0,136952446.43189153,0.5,0.499976795,0.0,0.0,8.385315068493152e-05,61699.638786863616
2054,735743483.0689442,467882608.91684383,41385570.92262811,73500000.0,34275.427200000006,582768179.8394719,152975303.22947228,88750000.0,64225303.22947228,0.0,16056325.80736807,48168977.42210421,0.0,136918977.4221042,0.5,0.49997671,0.0,0.0,8.458958904109594e-05,62241.503855698975
2055,735742816.1112596,467926620.3806801,41385533.40625835,73500000.0,34400.52,582812153.7869384,152930662.32432115,88750000.0,64180662.32432115,0.0,16045165.581080288,48135496.74324086,0.0,136885496.74324086,0.5,0.499976625,0.0,0.0,8.532602739726024e-05,62783.36874028798
2056,735742149.1537595,467970647.40341574,41385495.88989897,73500000.0,34525.6128,582856143.2933147,152886005.86044478,88750000.0,64136005.860444784,0.0,16034001.465111196,48102004.39533359,0.0,136852004.3953336,0.5,0.49997654,0.0,0.0,8.60624657534247e-05,63325.23344063082
2057,735741482.1964432,468014689.985008,41385458.37354993,73500000.0,34650.705599999994,582900148.3585579,152841333.83788526,88750000.0,64091333.83788526,0.0,16022833.459471315,48068500.378413945,0.0,136818500.37841395,0.5,0.499976455,0.0,0.0,8.6798904109589e-05,63867.09795672726
2058,735740815.2393113,468058748.1254147,41385420.85721126,73500000.0,34775.7984,582944168.982626,152796646.25668538,88750000.0,64046646.256685376,0.0,16011661.564171344,48034984.69251403,0.0,136784984.69251403,0.5,0.49997637,0.0,0.0,8.753534246575344e-05,64408.96228857754
2059,735740148.2823639,468102821.8245935,41385383.340882964,73500000.0,34900.8912,582988205.1654764,152751943.11688745,88750000.0,64001943.11688745,0.0,16000485.779221863,48001457.33766559,0.0,136751457.3376656,0.5,0.499976285,0.0,0.0,8.827178082191774e-05,64950.82643618145
