year,capacity_mw,base_capacity_factor,demand_factor,capacity_factor,outage_rate,efficiency_loss,water_temp_disruption,final_cf,potential_mwh,actual_mwh,power_price_per_mwh,revenue,lost_revenue_from_outages,lost_revenue_from_water_temp,heat_rate_base,effective_heat_rate,fuel_costs,variable_opex,fixed_opex,carbon_costs,total_costs,ebitda,depreciation,ebit,interest_expense,taxable_income,tax_expense,net_income,nopat,capex,free_cash_flow,cfads,debt_service_annual,dscr
2025,2100.0,0.4766953846153846,1.0,0.4766953846153846,0.0,0.0,0.0,0.4766953846153846,8769288.295384614,8769288.295384614,80.0,701543063.6307691,0.0,0.0,8.8,8.8,442954290.3764677,39461797.32923076,73500000.0,60845369.557207085,616761457.2629056,84781606.36786354,88750000.0,-3968393.632136464,142000000.0,-145968393.63213646,0.0,-145968393.63213646,-2976295.224102348,0.0,85773704.77589765,84781606.36786354,227888947.62156326,0.37203035624462794
2026,2100.0,0.44039076923076914,1.0,0.44039076923076914,0.0,0.0,0.0,0.44039076923076914,8101428.590769229,8101428.590769229,80.0,648114287.2615384,0.0,0.0,8.8,8.8,409219360.9769353,36456428.65846153,73500000.0,71541846.32463905,590717635.9600359,57396651.301502466,88750000.0,-31353348.698497534,137705552.61892185,-169058901.31741938,0.0,-169058901.31741938,-23515011.52387315,0.0,65234988.47612685,57396651.301502466,227888947.62156326,0.25186237375941745
2027,2100.0,0.4040861538461538,1.0,0.4040861538461538,0.0,0.0,0.0,0.4040861538461538,7433568.886153846,7433568.886153846,80.0,594685510.8923076,0.0,0.0,8.8,8.8,375484431.5774031,33451059.987692308,73500000.0,84399597.50740829,566835089.0725037,27850421.819803953,88750000.0,-60899578.18019605,133196382.86878978,-194095961.04898584,0.0,-194095961.04898584,-45674683.635147035,0.0,43075316.364852965,27850421.819803953,227888947.62156326,0.12221049818551488
2028,2100.0,0.36778153846153844,1.0,0.36778153846153844,0.0,0.0,0.0,0.36778153846153844,6765709.181538461,6765709.181538461,80.0,541256734.5230769,0.0,0.0,8.8,8.8,341749502.17787075,30445691.316923074,73500000.0,93887225.8730414,539582419.3678353,1674315.1552416086,88750000.0,-87075684.84475839,128461754.63115111,-215537439.4759095,0.0,-215537439.4759095,-65306763.63356879,0.0,23443236.366431206,1674315.1552416086,227888947.62156326,0.007347066071944869
2029,2100.0,0.34892307692307695,1.0,0.34892307692307695,0.0,0.0,0.0,0.34892307692307695,6418788.923076924,6418788.923076924,80.0,513503113.8461539,0.0,0.0,8.8,8.8,324225866.08246166,28884550.15384616,73500000.0,105268138.33846155,531878554.5747694,-18375440.728615463,88750000.0,-107125440.72861546,123490394.9816305,-230615835.71024597,0.0,-230615835.71024597,-80344080.5464616,0.0,8405919.453538403,-18375440.728615463,227888947.62156326,-0.0806333124989022
2030,2100.0,0.3107076923076923,1.0,0.3107076923076923,0.0,0.0,0.0,0.3107076923076923,5715778.707692307,5715778.707692307,80.0,457262296.6153846,0.0,0.0,8.8,8.8,288715414.0829539,25721004.184615385,73500000.0,108160120.16094674,496096538.428516,-38834241.81313139,88750000.0,-127584241.81313139,118270467.34963387,-245854709.16276526,0.0,-245854709.16276526,-95688181.35984854,0.0,-6938181.359848544,-38834241.81313139,227888947.62156326,-0.1704086232282764
2031,2100.0,0.2922812307692307,1.0,0.2922812307692307,0.0,0.0,0.0,0.2922812307692307,5376805.5212307675,5376805.5212307675,80.0,430144441.6984614,0.0,0.0,8.8,8.8,271593200.48840857,24195624.845538452,73500000.0,111920274.92654195,481209100.260489,-51064658.56202757,88750000.0,-139814658.56202757,112789543.3360374,-252604201.89806497,0.0,-252604201.89806497,-104860993.92152068,0.0,-16110993.92152068,-51064658.56202757,227888947.62156326,-0.22407694227815964
2032,2100.0,0.28006892307692305,1.0,0.28006892307692305,0.0,0.0,0.0,0.28006892307692305,5152147.9089230765,5152147.9089230765,80.0,412171832.7138461,0.0,0.0,8.8,8.8,260245295.17552245,23184665.590153843,73500000.0,116993389.43954556,473923350.20522183,-61751517.491375744,88750000.0,-150501517.49137574,107034573.12176111,-257536090.61313686,0.0,-257536090.61313686,-112876138.11853181,0.0,-24126138.11853181,-61751517.491375744,227888947.62156326,-0.2709719718128739
2033,2100.0,0.2678566153846154,1.0,0.2678566153846154,0.0,0.0,0.0,0.2678566153846154,4927490.296615385,4927490.296615385,80.0,394199223.7292308,0.0,0.0,8.8,8.8,248897389.8626364,22173706.334769234,73500000.0,121216261.29673848,465787357.4941441,-71588133.76491326,88750000.0,-160338133.76491326,100991854.39677101,-261329988.16168427,0.0,-261329988.16168427,-120253600.32368495,0.0,-31503600.323684946,-71588133.76491326,227888947.62156326,-0.3141360496507882
2034,2100.0,0.25564430769230767,1.0,0.25564430769230767,0.0,0.0,0.0,0.25564430769230767,4702832.684307692,4702832.684307692,80.0,376226614.7446153,0.0,0.0,8.8,8.8,237549484.54975015,21162747.079384614,73500000.0,124588890.49812068,456801122.12725544,-80574507.38264012,88750000.0,-169324507.38264012,94646999.73553139,-263971507.1181715,0.0,-263971507.1181715,-126993380.53698009,0.0,-38243380.53698009,-80574507.38264012,227888947.62156326,-0.35356917579190233
2035,2100.0,0.24343199999999995,1.0,0.24343199999999995,0.0,0.0,0.0,0.24343199999999995,4478175.071999999,4478175.071999999,80.0,358254005.7599999,0.0,0.0,8.8,8.8,226201579.23686394,20151787.823999994,73500000.0,129935972.08910766,449789339.1499716,-91535333.38997173,88750000.0,-180285333.38997173,87984902.3412298,-268270235.73120153,0.0,-268270235.73120153,-135214000.0424788,0.0,-46464000.0424788,-91535333.38997173,227888947.62156326,-0.40166640087336336
2036,2100.0,0.2312196923076923,1.0,0.2312196923076923,0.0,0.0,0.0,0.2312196923076923,4253517.459692308,4253517.459692308,80.0,340281396.7753846,0.0,0.0,8.8,8.8,214853673.92397788,19140828.568615384,73500000.0,134149396.80568047,441643899.29827374,-101362502.52288914,88750000.0,-190112502.52288914,80989700.07721312,-271102202.60010225,0.0,-271102202.60010225,-142584376.89216685,0.0,-53834376.89216685,-101362502.52288914,227888947.62156326,-0.4447890236924243
2037,2100.0,0.21737907692307692,1.0,0.21737907692307692,0.0,0.0,0.0,0.21737907692307692,3998905.499076923,3998905.499076923,80.0,319912439.92615384,0.0,0.0,8.8,8.8,201992714.56937355,17995074.745846152,73500000.0,136208873.46086627,429696662.776086,-109784222.84993213,88750000.0,-198534222.84993213,73644737.69999562,-272178960.5499278,0.0,-272178960.5499278,-148900667.1374491,0.0,-60150667.137449086,-109784222.84993213,227888947.62156326,-0.48174439346765474
2038,2100.0,0.20353846153846153,1.0,0.20353846153846153,0.0,0.0,0.0,0.20353846153846153,3744293.5384615385,3744293.5384615385,80.0,299543483.0769231,0.0,0.0,8.8,8.8,189131755.21476924,16849320.923076924,73500000.0,136983538.99171597,416464615.12956214,-116921132.05263907,88750000.0,-205671132.05263907,65932527.203917235,-271603659.2565563,0.0,-271603659.2565563,-154253349.03947932,0.0,-65503349.039479315,-116921132.05263907,227888947.62156326,-0.513061880678832
2039,2100.0,0.10384615384615385,1.0,0.10384615384615385,0.0,0.0,0.0,0.10384615384615385,1910353.8461538462,1910353.8461538462,80.0,152828307.6923077,0.0,0.0,8.8,8.8,96495793.4769231,8596592.307692308,73500000.0,74709530.41420119,253301916.1988166,-100473608.50650889,88750000.0,-189223608.5065089,57834706.183034934,-247058314.6895438,0.0,-247058314.6895438,-141917706.37988168,0.0,-53167706.37988168,-100473608.50650889,227888947.62156326,-0.4408884658739891
2040,2100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,8.8,8.8,0.0,0.0,73500000.0,0.0,73500000.0,-73500000.0,88750000.0,-162250000.0,49331994.11110852,-211581994.1111085,0.0,-211581994.1111085,-121687500.0,0.0,-32937500.0,-73500000.0,227888947.62156326,-0.3225255141467216
