year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,773496018.0438799,488385385.7929058,43509151.014968246,73500000.0,162047.1576584148,605394536.8078741,168101481.23600578,118333333.33333333,49768147.902672455,142000000.0,0.0,-92231852.09732755,0.0,155659444.26033765,0.5256972067307691,0.525587096409464,0.0,0.7376464852308604
2026,708197464.928111,447155879.3556093,39836107.40220624,73500000.0,301664.0318889543,560491986.7578156,147705478.17029536,118333333.33333333,29372144.83696203,137705552.61892185,0.0,-108333407.78195982,0.0,140362441.96105486,0.481422,0.4812170206349961,0.0,0.6481467386280527
2027,642963256.7234485,405967000.2951854,36166683.190693974,73500000.0,417534.55193601,515633683.48587936,127329573.23756915,118333333.33333333,8996239.904235825,133196382.86878978,0.0,-124200142.96455395,0.0,125080513.2615102,0.43717437980769225,0.43689066694080814,0.0,0.5587351846874781
2028,577794707.8278086,364819578.52247834,32500952.315314233,73500000.0,508344.31988377037,470820530.8377926,106974176.99001604,118333333.33333333,-11359156.343317285,128461754.63115111,0.0,-139820910.9744684,0.0,109813966.07584536,0.39295434615384617,0.39260892845442524,0.0,0.4694136249541132
2029,539676979.9644912,340752045.14957976,30356830.12300263,73500000.0,602926.9585857125,444608875.2725824,95068104.69190884,118333333.33333333,-23265228.641424492,123490394.9816305,0.0,-146755623.62305498,0.0,100884411.85226496,0.3671177884615384,0.36670810228072076,0.0,0.4171685625130919
2030,471220881.2537463,297528864.42361546,26506174.57052323,73500000.0,641613.0231767932,397535038.99413866,73685842.25960761,118333333.33333333,-44647491.073725715,118270467.34963387,0.0,-162917958.42335957,0.0,84847715.02803904,0.32062846153846153,0.320192488349197,0.0,0.3233410089811452
2031,444400763.9619248,280594642.36555934,24997542.97285827,73500000.0,610603.2473059474,379092185.3384176,65308578.6235072,118333333.33333333,-53024754.70982613,112789543.3360374,0.0,-165814298.0458635,0.0,78564767.30096373,0.30238324038461534,0.30196833819982927,0.0,0.2865807197107245
2032,427016296.6847861,269618089.726774,24019666.688519217,73500000.0,592010.1902908196,367137756.4152932,59878540.269492865,118333333.33333333,-58454793.063840464,107034573.12176111,0.0,-165489366.1856016,0.0,74492238.53545298,0.29055793846153843,0.29015567017611577,0.0,0.26275315628263074
2033,409643061.3961233,258648628.96551228,23042422.203531936,73500000.0,573001.992799693,355191051.1690442,54452010.22707909,118333333.33333333,-63881323.106254235,100991854.39677101,0.0,-164873177.50302523,0.0,70422341.00364265,0.2787399865384615,0.2783506342385052,0.0,0.2389409876845065
2034,392281057.6948049,247686259.82849985,22065809.495332774,73500000.0,553579.0559642402,343252069.32383263,49028988.370972276,118333333.33333333,-69304344.96236105,94646999.73553139,0.0,-163951344.69789243,0.0,66355074.611562535,0.26692938461538457,0.2665532301144304,0.0,0.2151442133665506
