year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr,water_temp_disruption,lost_revenue_from_water_temp
2025,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,142000000.0,0.0,-32290552.086515784,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8708603466064083,0.0001753424657534248,154821.6933580801
2026,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,137705552.61892185,0.0,-27996104.70543763,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8708603466064083,0.0001753424657534248,154821.6933580801
2027,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,133196382.86878978,0.0,-23486934.95530556,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8708603466064083,0.0001753424657534248,154821.6933580801
2028,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,128461754.63115111,0.0,-18752306.717666894,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8708603466064083,0.0001753424657534248,154821.6933580801
2029,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,123490394.9816305,0.0,-13780947.068146288,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8708603466064083,0.0001753424657534248,154821.6933580801
2030,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,118270467.34963387,0.0,-8561019.436149657,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8708603466064083,0.0001753424657534248,154821.6933580801
2031,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,112789543.3360374,0.0,-3080095.4225531816,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8708603466064083,0.0001753424657534248,154821.6933580801
2032,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,107034573.12176111,668718.6979307756,2006156.0937923267,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8679259405945764,0.0001753424657534248,154821.6933580801
2033,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,100991854.39677101,2179398.3791783005,6538195.1375349015,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8612969237115102,0.0001753424657534248,154821.6933580801
2034,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,94646999.73553139,3765612.0444882065,11296836.13346462,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8543364559842908,0.0001753424657534248,154821.6933580801
2035,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,87984902.3412298,5431136.393063605,16293409.179190814,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8470279648707103,0.0001753424657534248,154821.6933580801
2036,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,80989700.07721312,7179936.959067773,21539810.87720332,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8393540492014508,0.0001753424657534248,154821.6933580801
2037,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,73644737.69999562,9016177.553372148,27048532.660116445,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8312964377487283,0.0001753424657534248,154821.6933580801
2038,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,65932527.203917235,10944230.177391745,32832690.532175235,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8228359457233697,0.0001753424657534248,154821.6933580801
2039,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,57834706.183034934,12968685.43261232,38906056.29783696,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8139524290967431,0.0001753424657534248,154821.6933580801
2040,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,49331994.11110852,15094363.450593924,45283090.35178177,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.8046247366387854,0.0001753424657534248,154821.6933580801
2041,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,40404146.43558578,17326325.36947461,51978976.10842383,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.7948306595579296,0.0001753424657534248,154821.6933580801
2042,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,31029906.37628691,19669885.384299327,59009656.152897984,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.7845468786230311,0.0001753424657534248,154821.6933580801
2043,882812648.2394419,561194988.8624891,49658211.463468604,73500000.0,40530.067200000005,684353200.3259577,198459447.91348422,88750000.0,109709447.91348422,21186954.314023092,22130623.39986528,66391870.19959584,0.0,171032085.93511316,0.6,0.5999724599999999,0.0,0.7737489086413878,0.0001753424657534248,154821.6933580801
