year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,882839645.20752,557424951.9840282,49659730.042922996,73500000.0,20156.616479999997,680584682.0269512,202254963.1805688,88750000.0,113504963.18056881,142000000.0,0.0,-28495036.819431186,0.0,173878722.3854266,0.5998992999999999,0.5998856036689497,0.0,0.8875154556263838
2026,869475361.2892078,551745470.4703578,49153757.861827075,73500000.0,39703.884254496,674399228.3321848,195076132.95702302,88750000.0,106326132.95702302,137705552.61892185,0.0,-31379419.66189882,0.0,168494599.71776727,0.593800614,0.5937734998167122,0.0,0.8560140146900418
2027,856334982.6871455,546123840.2794442,48652939.52441992,73500000.0,58657.09861546309,668276779.8038641,188058202.88328135,88750000.0,99308202.88328135,133196382.86878978,0.0,-33888179.98550843,0.0,163231152.162461,0.5877639117899999,0.5877236539878224,0.0,0.8252186200603918
2028,843414466.0244669,540559472.2911075,48157222.547315165,73500000.0,77031.18695994766,662216694.8384227,181197771.18604422,88750000.0,92447771.18604422,128461754.63115111,0.0,-36013983.445106894,0.0,158085828.38953316,0.5817885635628,0.5817354321871321,0.0,0.7951143444084208
2029,830709844.5072962,535051783.38285697,47666554.9814471,73500000.0,94840.71749141412,656218338.3643041,174491506.14299214,88750000.0,85741506.14299214,123490394.9816305,0.0,-37748888.838638365,0.0,153056129.6072441,0.575873945908965,0.5758082068740439,0.0,0.7656865677959779
2030,818217226.4338807,529600196.36884594,47180885.40663222,73500000.0,112099.90771802723,650281081.7754781,167936144.65840256,88750000.0,79186144.65840256,118270467.34963387,0.0,-39084322.69123131,0.0,148139608.49380192,0.5700194417518504,0.5699413568968159,0.0,0.7369209714254354
2031,805960583.8934311,524222215.53727144,46701773.240373,73500000.0,110420.68555876575,644423988.7776444,161536595.11578667,88750000.0,72786595.11578667,112789543.3360374,0.0,-40002948.220250726,0.0,143339946.33684,0.56423101181473,0.5641537198953034,0.0,0.7088390937854407
2032,793907552.1266718,518898834.30269146,46227525.22889831,73500000.0,108769.35910764102,638626359.5315897,155281192.59508204,88750000.0,66531192.595082045,107034573.12176111,0.0,-40503380.52667907,0.0,138648394.44631153,0.5585013485321769,0.5584248414981314,0.0,0.6813897480142168
2033,782054476.6291324,513629498.47124946,45758092.00032908,73500000.0,107145.42767901527,632887590.4715786,149166886.1575538,88750000.0,60416886.15755379,100991854.39677101,0.0,-40574968.23921722,0.0,134062664.61816534,0.5528298554140932,0.5527541252969133,0.0,0.6545595462806875
2034,770397771.8228314,508413659.473006,45293424.683808334,73500000.0,105548.40003052904,627207084.1568143,143190687.66601706,88750000.0,54440687.666017056,94646999.73553139,0.0,-40206312.069514334,0.0,129580515.74951279,0.5472159420235182,0.5471409809355698,0.0,0.6283353763333983
2035,758933919.7184949,503250774.3048803,44833474.90441798,73500000.0,103977.79417981846,621584249.2092983,137349670.50919664,88750000.0,48599670.50919664,87984902.3412298,0.0,-39385231.83203316,0.0,125199752.88189748,0.5416590239152131,0.5415848240489234,0.0,0.6027043959028769
2036,747659468.6041468,498140305.4741698,44378194.77814706,73500000.0,102433.13722484546,616018500.2523168,131640968.35183,88750000.0,42890968.351830006,80989700.07721312,0.0,-38098731.72538312,0.0,120918226.2638725,0.536158522574872,0.5360850762019165,0.0,0.5776540272169562
2037,736571031.7595466,493081720.9426429,43927536.90691109,73500000.0,100913.96516776911,610509257.8495541,126061773.90999258,88750000.0,37311773.909992576,73644737.69999562,0.0,-36332963.79000305,0.0,116733830.43249443,0.5307138653589459,0.5306411648294447,0.0,0.5531719516267773
2038,725665286.1959625,488074494.07119924,43481454.37362204,73500000.0,99419.82274228835,605055948.4448214,120609337.75114119,88750000.0,31859337.75114119,65932527.203917235,0.0,-34073189.452776045,0.0,112644503.3133559,0.5253244854350809,0.5252525231768022,0.0,0.5292461043412573
2039,714938971.420773,483118103.5650904,43039900.73730809,73500000.0,97950.26324438593,599658004.3023984,115280967.11837459,88750000.0,26530967.118374586,57834706.183034934,0.0,-31303739.064660348,0.0,108648225.33878094,0.5199898217231576,0.5199185902407297,0.0,0.5058646692678241
2040,704388888.2264057,478212033.41969633,42602830.02828305,73500000.0,96504.84836640715,594314863.4479795,110074024.77842629,88750000.0,21324024.77842629,49331994.11110852,0.0,-28007969.33268223,0.0,104743018.58381972,0.5147093188369289,0.5146388107110609,0.0,0.48301607395729135
2041,694149548.1820898,473449658.4958429,42178560.80201324,73500000.0,95102.0068752007,589128219.2978561,105021328.88423371,88750000.0,16271328.884233713,40404146.43558578,0.0,-24132817.55135207,0.0,100953496.66317528,0.5095834780345262,0.5095136720786311,0.0,0.4608443278198561
2042,684076214.0104584,468734709.8671245,41758516.677266,73500000.0,93721.90903006692,583993226.5443904,100082987.46606791,88750000.0,11332987.46606791,31029906.37628691,0.0,-19696918.910219,0.0,97249740.59955093,0.5045086831162878,0.5044395723377788,0.0,0.4391743808140605
2043,674165960.8395089,464066715.245131,41342655.57893351,73500000.0,92364.15410871475,578909370.8240645,95256590.0154444,88750000.0,6506590.015444398,21186954.314023092,0.0,-14680364.298578694,0.0,93629942.5115833,0.4994844257486107,0.49941600322453555,0.0,0.4179956553822404
2044,664415918.1790277,459445207.04459065,40930935.850899935,73500000.0,91028.34883943386,573876142.8954906,90539775.28353703,88750000.0,1789775.2835370302,10851854.64864608,0.0,-9062079.36510905,0.0,90092331.46265277,0.49451020265997553,0.4944424615363235,0.0,0.39729779012314853
2045,654823268.8775067,454869722.33653647,40523316.251869135,73500000.0,89714.107258187,568893038.5884056,85930230.28910112,88750000.0,-2819769.710898876,0.0,0.0,-2819769.710898876,0.0,86635172.71682584,0.4895855155905382,0.48951844908155323,0.0,0.0
