year,revenue,fuel_costs,variable_opex,fixed_opex,lost_revenue_from_outages,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor,final_cf,carbon_costs,dscr
2025,882547166.6630971,557240281.0310796,49643278.124799214,73500000.0,184893.3369029045,680383559.1558789,202163607.50721824,118333333.33333333,83830274.17388491,142000000.0,0.0,-58169725.82611509,0.0,181206038.96374702,0.5998125,0.5996868658017348,0.0,0.8871145775921305
2026,882080388.7390244,556945557.44982,49617021.86657012,73500000.0,375731.26097563934,680062579.3163902,202017809.42263424,118333333.33333333,83684476.08930092,137705552.61892185,0.0,-54021076.52962093,0.0,181096690.40030903,0.599625,0.5993696922829856,0.0,0.8864748006915583
2027,881607671.9127553,556647084.0457138,49590431.54509248,73500000.0,572508.0872448193,679737515.5908062,201870156.321949,118333333.33333333,83536822.98861568,133196382.86878978,0.0,-49659559.8801741,0.0,180985950.57479507,0.5994375,0.5990484833066666,0.0,0.8858268837906893
2028,881129021.869263,556344864.4082528,49563507.48014605,73500000.0,775218.1307369611,679408371.8883989,201720649.98086417,118333333.33333333,83387316.64753084,128461754.63115111,0.0,-45074437.98362027,0.0,180873820.81898147,0.59925,0.5987232427356919,0.0,0.8851708346814842
2029,880644444.293521,556038902.1269293,49536249.991510555,73500000.0,983855.7064787776,679075152.1184398,201569292.17508125,118333333.33333333,83235958.84174792,123490394.9816305,0.0,-40254436.13988258,0.0,180760302.46464425,0.5990624999999999,0.5983939744329754,0.0,0.8845066611559025
2030,880153944.8705031,555729200.7912357,49508659.3989658,73500000.0,1198415.1294968838,678737860.1902015,201416084.68030155,118333333.33333333,83082751.34696822,118270467.34963387,0.0,-35187716.002665654,0.0,180645396.8435595,0.598875,0.5980606822614313,0.0,0.883834371005903
2031,879867488.806735,555548332.4325726,49492546.245378844,73500000.0,1208931.1932648972,678540878.6779515,201326610.12878358,118333333.33333333,82993276.79545026,112789543.3360374,0.0,-29796266.540587142,0.0,180578290.92992103,0.5986874999999999,0.5978660366429761,0.0,0.8834417475265646
2032,879581039.5649352,555367468.3813002,49476433.47552761,73500000.0,1219440.435064751,678343901.8568279,201237137.70810735,118333333.33333333,82903804.37477402,107034573.12176111,0.0,-24130768.74698709,0.0,180511186.61441386,0.5985,0.597671395660018,0.0,0.8830491333975774
2033,879294597.1451033,555186608.6374184,49460321.08941206,73500000.0,1229942.85489664,678146929.7268305,201147667.41827285,118333333.33333333,82814334.08493952,100991854.39677101,0.0,-18177520.31183149,0.0,180444083.89703798,0.5983125,0.5974767593125566,0.0,0.8826565286189417
2034,879008161.5472394,555005753.200927,49444209.087032214,73500000.0,1240438.4527604664,677949962.2879592,201058199.2592802,118333333.33333333,82724865.92594688,94646999.73553139,0.0,-11922133.809584513,0.0,180376982.77779347,0.5981249999999999,0.5972821276005921,0.0,0.8822639331906579
2035,878721732.771344,554824902.0718266,49428097.468388095,73500000.0,1250927.2286561334,677752999.5402147,200968733.2311293,118333333.33333333,82635399.89779596,87984902.3412298,0.0,-5349502.443433836,0.0,180309883.2566803,0.5979375,0.5970875005241247,0.0,0.8818713471127253
2036,878435310.8174162,554644055.2501167,49411986.23347966,73500000.0,1261409.1825838357,677556041.4835963,200879269.33381987,118333333.33333333,82545936.00048654,80989700.07721312,389058.9808183536,1167176.9424550608,0.0,180242785.3336982,0.59775,0.596892878083154,0.0,0.8797715398025331
2037,878148895.6854568,554463212.7357974,49395875.38230694,73500000.0,1271884.314543378,677359088.1181043,200789807.5673524,118333333.33333333,82456474.23401909,73644737.69999562,2202934.133505866,6608802.400517598,0.0,180175689.00884765,0.5975625,0.5966982602776804,0.0,0.8714195028168882
2038,877862487.375465,554282374.5288687,49379764.914869905,73500000.0,1282352.6245349555,677162139.4437386,200700347.93172646,118333333.33333333,82367014.59839313,65932527.203917235,4108621.848618973,12325865.54585692,0.0,180108594.28212816,0.597375,0.5965036471077034,0.0,0.86266459227137
2039,877576085.8874416,554101540.6293308,49363654.83116859,73500000.0,1292814.1125583735,676965195.4604993,200610890.42694235,118333333.33333333,82277557.09360902,57834706.183034934,6110712.7276435215,18332138.182930566,0.0,180041501.15354007,0.5971875,0.5963090385732235,0.0,0.8534866641373479
2040,877289691.2213862,553920711.0371834,49347545.13120297,73500000.0,1303268.7786138265,676768256.1683863,200521435.05299985,118333333.33333333,82188101.71966653,49331994.11110852,8214026.902139502,24642080.706418507,0.0,179974409.62308323,0.597,0.5961144346742404,0.0,0.8438645671847574
2041,877003303.3772987,553739885.7524264,49331435.81497306,73500000.0,1313716.6227012174,676571321.5673995,200431981.8098992,118333333.33333333,82098648.47656588,40404146.43558578,10423625.510245025,31270876.530735075,0.0,179907319.69075775,0.5968125,0.5959198354107542,0.0,0.8337760926220331
2042,876716922.3551795,553559064.7750604,49315326.88247885,73500000.0,1324157.6448204485,676374391.6575392,200342530.6976403,118333333.33333333,82009197.36430697,31029906.37628691,12744822.747005016,38234468.24101505,0.0,179840231.35656357,0.596625,0.5957252407827649,0.0,0.8231979212180295
2043,876430548.1550282,553378248.1050849,49299218.33372034,73500000.0,1334591.844971715,676177466.4388052,200253081.716223,118333333.33333333,81919748.38288967,21186954.314023092,15183198.517216645,45549595.551649936,0.0,179773144.62050056,0.5964375,0.5955306507902725,0.0,0.8121055677800441
2044,876144180.7768451,553197435.7425001,49283110.168697536,73500000.0,1345019.223154821,675980545.9111977,200163634.86564744,118333333.33333333,81830301.5323141,10851854.64864608,17744611.720917005,53233835.16275102,0.0,179706059.48256892,0.59625,0.595336065433277,0.0,0.80047332285574
2045,875857820.2206299,553016627.6873058,49267002.38741043,73500000.0,1355439.7793699629,675783630.0747162,200074190.14591372,118333333.33333333,81740856.81258039,0.0,20435214.203145098,61305642.60943529,0.0,179638975.94276863,0.5960624999999999,0.5951414847117783,0.0,0.0
2046,875571466.4863831,552835823.9395024,49250894.989859045,73500000.0,1365853.5136169454,675586718.9293613,199984747.55702174,118333333.33333333,81651414.22368841,0.0,20412853.555922102,61238560.6677663,0.0,179571894.00109965,0.595875,0.5949469086257767,0.0,0.0
2047,875285119.574104,552655024.4990892,49234787.97604334,73500000.0,1376260.4258959624,675389812.4751326,199895307.09897137,118333333.33333333,81561973.76563804,0.0,20390493.44140951,61171480.324228525,0.0,179504813.65756184,0.5956874999999999,0.5947523371752718,0.0,0.0
2048,874998779.483793,552474229.366067,49218681.34596336,73500000.0,1386660.5162069176,675192910.7120304,199805868.7717626,118333333.33333333,81472535.43842928,0.0,20368133.85960732,61104401.57882196,0.0,179437734.91215527,0.5955,0.5945577703602639,0.0,0.0
2049,874712446.2154503,552293438.5404354,49202575.09961908,73500000.0,1397053.7845497127,674996013.6400545,199716432.57539582,118333333.33333333,81383099.2420625,0.0,20345774.810515624,61037324.43154687,0.0,179370657.76488018,0.5953125,0.5943632081807528,0.0,0.0
2050,874426119.7690754,552112652.0221943,49186469.23701049,73500000.0,1407440.230924543,674799121.2592047,199626998.50987065,118333333.33333333,81293665.17653732,0.0,20323416.29413433,60970248.88240299,0.0,179303582.21573633,0.5951249999999999,0.5941686506367385,0.0,0.0
2051,874421789.1837494,552109917.6906195,49186225.6415859,73500000.0,1411770.8162504816,674796143.3322054,199625645.85154402,118333333.33333333,81292312.5182107,0.0,20323078.129552674,60969234.38865802,0.0,179302567.72199136,0.5951249999999999,0.594165708023313,0.0,0.0
2052,874417458.5984236,552107183.3590448,49185982.046161324,73500000.0,1416101.4015763227,674793165.4052061,199624293.19321752,118333333.33333333,81290959.85988419,0.0,20322739.964971047,60968219.89491314,0.0,179301553.22824645,0.5951249999999999,0.5941627654098877,0.0,0.0
2053,874413128.0130976,552104449.0274699,49185738.450736746,73500000.0,1420431.986902261,674790187.4782066,199622940.534891,118333333.33333333,81289607.20155768,0.0,20322401.80038942,60967205.40116826,0.0,179300538.7345016,0.5951249999999999,0.5941598227964623,0.0,0.0
2054,874408797.4277717,552101714.6958951,49185494.85531215,73500000.0,1424762.5722281996,674787209.5512072,199621587.8765645,118333333.33333333,81288254.54323117,0.0,20322063.635807794,60966190.90742338,0.0,179299524.2407567,0.5951249999999999,0.5941568801830368,0.0,0.0
2055,874404466.8424457,552098980.3643204,49185251.259887576,73500000.0,1429093.157554138,674784231.624208,199620235.21823776,118333333.33333333,81286901.88490443,0.0,20321725.471226107,60965176.41367832,0.0,179298509.74701166,0.5951249999999999,0.5941539375696114,0.0,0.0
2056,874400136.2571198,552096246.0327455,49185007.66446298,73500000.0,1433423.7428800764,674781253.6972084,199618882.55991137,118333333.33333333,81285549.22657804,0.0,20321387.30664451,60964161.91993353,0.0,179297495.25326687,0.5951249999999999,0.594150994956186,0.0,0.0
2057,874395805.6717939,552093511.7011708,49184764.06903841,73500000.0,1437754.3282059175,674778275.7702092,199617529.90158474,118333333.33333333,81284196.56825142,0.0,20321049.142062854,60963147.42618856,0.0,179296480.7595219,0.5951249999999999,0.5941480523427606,0.0,0.0
2058,874391475.086468,552090777.369596,49184520.47361383,73500000.0,1442084.913531856,674775297.8432099,199616177.24325812,118333333.33333333,81282843.90992479,0.0,20320710.977481198,60962132.93244359,0.0,179295466.26577693,0.5951249999999999,0.5941451097293352,0.0,0.0
2059,874387144.501142,552088043.0380211,49184276.87818924,73500000.0,1446415.4988577943,674772319.9162103,199614824.58493173,118333333.33333333,81281491.2515984,0.0,20320372.8128996,60961118.4386988,0.0,179294451.77203214,0.5951249999999999,0.5941421671159097,0.0,0.0
