year,ch1_outage_revenue_loss_krw,ch2_ch3_derate_water_revenue_loss_krw,ch4_efficiency_fuel_cost_krw,ch5_capex_damage_loss_krw,total_physical_impact_krw,total_physical_impact_pct_revenue
2025,1400491.5743243708,0.0,0.0,3879854.166666666,5280345.740991037,0.597995232318511
2026,1423446.2189594414,0.0,0.0,3943458.333333334,5366904.552292775,0.6077979533925825
2027,1446400.7270255967,0.0,0.0,4007062.5000000005,5453463.227025597,0.6176006590003258
2028,1469355.0985231309,0.0,0.0,4070666.666666667,5540021.765189798,0.6274033491417742
2029,1492309.3334519453,0.0,0.0,4134270.8333333335,5626580.166785279,0.6372060238169166
2030,1515263.4318117462,0.0,0.0,4197875.000000001,5713138.431811747,0.6470086830257198
2031,1529035.8252746887,0.0,0.0,4236037.5,5765073.325274689,0.65289027112718
2032,1542808.1695728097,0.0,0.0,4274200.000000001,5817008.169572811,0.6587718536607607
2033,1556580.4647062072,0.0,0.0,4312362.5,5868942.964706207,0.6646534306264731
2034,1570352.7106747837,0.0,0.0,4350525.000000001,5920877.710674785,0.6705350020243062
2035,1584124.9074785388,0.0,0.0,4388687.500000001,5972812.407478539,0.6764165678542594
2036,1597897.0551178646,0.0,0.0,4426850.000000001,6024747.055117866,0.6822981281163779
2037,1611669.153592173,0.0,0.0,4465012.500000001,6076681.653592174,0.6881796828105944
2038,1625441.2029016602,0.0,0.0,4503175.000000001,6128616.202901661,0.6940612319369316
2039,1639213.203046424,0.0,0.0,4541337.5,6180550.703046424,0.6999427754954003
2040,1652985.1540264646,0.0,0.0,4579500.0,6232485.154026465,0.7058243134860006
2041,1666757.0558417817,0.0,0.0,4617662.499999999,6284419.555841781,0.7117058459087325
2042,1680528.9084921796,0.0,0.0,4655825.0,6336353.90849218,0.717587372763574
2043,1694300.7119779522,0.0,0.0,4693987.5,6388288.211977952,0.7234688940505581
2044,1708072.4662990011,0.0,0.0,4732150.0,6440222.466299001,0.7293504097696737
2045,1721844.1714552292,0.0,0.0,4770312.5,6492156.671455229,0.7352319199209099
2046,1735615.8274466358,0.0,0.0,4808475.0,6544090.827446636,0.7411134245042668
2047,1749387.434273319,0.0,0.0,4846637.500000001,6596024.93427332,0.7469949235197553
2048,1763158.9919351812,0.0,0.0,4884800.0,6647958.991935181,0.7528764169673641
2049,1776930.50043232,0.0,0.0,4922962.500000001,6699893.000432321,0.7587579048471045
2050,1790701.959764735,0.0,0.0,4961125.0,6751826.959764735,0.7646393871589765
2051,1809981.9202332757,0.0,0.0,5014552.5,6824534.420233276,0.7728734530415665
2052,1829261.7843388251,0.0,0.0,5067980.000000001,6897241.784338826,0.7811075080111195
2053,1848541.5520814818,0.0,0.0,5121407.500000001,6969949.0520814825,0.7893415520676464
2054,1867821.2234611472,0.0,0.0,5174835.000000001,7042656.223461148,0.797575585211136
2055,1887100.7984779198,0.0,0.0,5228262.5,7115363.29847792,0.8058096074415997
2056,1906380.2771317994,0.0,0.0,5281690.000000001,7188070.277131801,0.8140436187590373
2057,1925659.6594226882,0.0,0.0,5335117.500000001,7260777.159422689,0.8222776191634378
2058,1944938.945350586,0.0,0.0,5388544.999999999,7333483.9453505855,0.8305116086548011
2059,1964218.1349155903,0.0,0.0,5441972.500000001,7406190.634915591,0.8387455872331384
2060,1983497.228117702,0.0,0.0,5495400.0,7478897.2281177025,0.8469795548984497
2061,2002776.224956823,0.0,0.0,5548827.5,7551603.7249568235,0.8552135116507237
2062,2022055.1254330506,0.0,0.0,5602254.999999999,7624310.12543305,0.8634474574899718
2063,2041333.9295461893,0.0,0.0,5655682.5,7697016.4295461895,0.8716813924161716
2064,2060612.6372965332,0.0,0.0,5709110.0,7769722.637296533,0.8799153164293565
