scenario,npv_million,irr_pct,avg_dscr,min_dscr,llcr,payback_years,expected_loss_pct,npv_loss_million,debt_spread_bps,equity_premium_pct,crp_bps,climate_risk_premium_bps,wacc_baseline_pct,wacc_adjusted_pct,overall_rating,rating_numeric,spread_bps,is_investment_grade,is_distressed,policy_industry_rating,profitability_rating,coverage_rating,dscr_rating,net_debt_leverage_rating,equity_leverage_rating,asset_leverage_rating,capacity_mw,ebitda_to_fixed_assets,ebitda_to_interest,dscr,net_debt_to_ebitda,debt_to_equity,debt_to_assets,is_ebitda_negative,rating_rationale,counterfactual_rating,counterfactual_spread_bps,scenario_rating_new,scenario_spread_bps_new,rating_migration,notch_change,counterfactual_crp_bps
baseline,-1268.2366516593713,3.917976715115623,0.8515218282327067,0.7893669493845827,0.899967391282412,21.0,0.0,0.0,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.686683807962498,1.4216709519906245,0.8515218282327067,13.967952905695928,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.852 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
moderate_transition,-1753.1789636713595,2.0334062883586634,0.6649790756687108,0.6383189948563284,0.6993107768193811,25.0,13.660346817239102,484.9423120119882,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CC,B,BB,BBB,2100.0,4.393832750766868,1.0984581876917168,0.6649790756687108,18.107338453207483,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.665 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
aggressive_transition,-2499.5036814130704,-3.1570802126268283,0.36561884517067667,0.3656188451706766,0.38389978742921016,,34.68357830292109,1231.2670297536988,400,1.0,220.0000000000002,220.0000000000002,6.0,8.200000000000001,BB,5,400,False,False,AA,BB,B,C,CCC,BB,BBB,2100.0,2.45455616497343,0.6136390412433576,0.36561884517067667,32.49245037518462,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.366 < 1.0),A,150,BB,400,Downgrade by 2 notch(es),2,205.00000000000006
moderate_physical,-1268.2366516593713,3.917976715115623,0.8515218282327067,0.7893669493845827,0.899967391282412,21.0,0.0,0.0,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.686683807962498,1.4216709519906245,0.8515218282327067,13.967952905695928,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.852 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
high_physical,-1276.285685075553,3.887245532904804,0.8489555710491595,0.7850081065205247,0.897615738195262,21.0,0.22673333566708634,8.049033416181564,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.683618075120958,1.4209045187802394,0.8489555710491595,13.975541132889626,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.849 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
combined_moderate,-1753.1789636713595,2.0334062883586634,0.6649790756687108,0.6383189948563284,0.6993107768193811,25.0,13.660346817239102,484.9423120119882,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CC,B,BB,BBB,2100.0,4.393832750766868,1.0984581876917168,0.6649790756687108,18.107338453207483,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.665 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
combined_aggressive,-2505.2463354816623,-3.2106936543546905,0.3631202304740865,0.3613355089796383,0.38161625849881087,,34.84534320626172,1237.009683822291,400,1.0,220.0000000000002,220.0000000000002,6.0,8.200000000000001,BB,5,400,False,False,AA,BB,B,C,CCC,BB,BBB,2100.0,2.453382759778453,0.6133456899446132,0.3631202304740865,32.50803870946913,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.363 < 1.0),A,150,BB,400,Downgrade by 2 notch(es),2,205.00000000000006
low_demand,-1870.630577204758,0.6106665615975837,0.6086172792885141,0.3812583453562562,0.682311602842121,33.0,16.96884297310949,602.3939255453868,400,1.0,220.0000000000002,220.0000000000002,6.0,8.200000000000001,BB,5,400,False,False,AA,BB,B,CC,CCC,BB,BBB,2100.0,2.6913637652502076,0.6728409413125518,0.6086172792885141,29.62470724059208,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.609 < 1.0),A,150,BB,400,Downgrade by 2 notch(es),2,205.00000000000006
severe_drought,-1276.285685075553,3.887245532904804,0.8489555710491595,0.7850081065205247,0.897615738195262,21.0,0.22673333566708634,8.049033416181564,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.683618075120958,1.4209045187802394,0.8489555710491595,13.975541132889626,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.849 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
enhanced_11th_plan,-2791.290295426368,-15.87130416885546,0.22009057020333228,-0.3392716092945097,0.24614932827070746,,42.902919542732306,1523.0536437669969,400,1.0,220.0000000000002,220.0000000000002,6.0,8.200000000000001,BB,5,400,False,False,AA,BB,CCC,C,CCC,BB,BBB,2100.0,1.520350941551188,0.38008773538779705,0.22009057020333228,52.51943003657916,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.220 < 1.0),A,150,BB,400,Downgrade by 2 notch(es),2,205.00000000000006
