scenario,display_name,year,dscr,rating,spread_bps,cost_of_debt,ebitda,debt_service
baseline,Baseline,2025,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2026,1.072,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2027,1.072,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2028,1.072,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2029,1.072,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2030,1.072,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2031,1.072,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2032,1.072,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2033,1.072,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2034,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2035,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2036,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2037,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2038,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2039,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2040,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2041,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2042,1.072,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2043,1.07,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2044,1.063,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2045,1.056,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2046,1.048,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2047,1.04,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2048,1.031,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2049,1.022,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2050,1.013,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2051,1.003,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2052,0.993,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2053,0.982,BBB,250,0.0925,201877275.18,184746075.63
baseline,Baseline,2054,0.971,A,150,0.0825,201877275.18,184746075.63
baseline,Baseline,2055,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2056,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2057,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2058,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2059,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2060,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2061,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2062,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2063,0.0,BBB,250,0.0925,201877275.18,0.0
baseline,Baseline,2064,0.0,BBB,250,0.0925,201877275.18,0.0
moderate_transition,Moderate Transition,2025,0.824,BBB,250,0.0925,155981062.65,184746075.63
moderate_transition,Moderate Transition,2026,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2027,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2028,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2029,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2030,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2031,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2032,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2033,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2034,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2035,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2036,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2037,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2038,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2039,0.824,BB,400,0.1075,155981062.65,184746075.63
moderate_transition,Moderate Transition,2040,0.824,BB,400,0.1075,155981062.65,184746075.63
