hazard_type,indicator_id,path,display_name,description_short
ChronicHeat,mean_degree_days/above/32c,chronic_heat/osc/v2/mean_degree_days_v2_above_32c_ACCESS-CM2_{scenario}_{year},Mean degree days above 32°C/ACCESS-CM2,"Degree days indicators are calculated by integrating over time the absolute difference in temperature
of the medium over a reference temperature. The exact method of calculation may vary;
here the dai"
ChronicHeat,mean_degree_days/above/32c,chronic_heat/osc/v2/mean_degree_days_v2_above_32c_CMCC-ESM2_{scenario}_{year},Mean degree days above 32°C/CMCC-ESM2,"Degree days indicators are calculated by integrating over time the absolute difference in temperature
of the medium over a reference temperature. The exact method of calculation may vary;
here the dai"
ChronicHeat,mean_degree_days/above/32c,chronic_heat/osc/v2/mean_degree_days_v2_above_32c_CNRM-CM6-1_{scenario}_{year},Mean degree days above 32°C/CNRM-CM6-1,"Degree days indicators are calculated by integrating over time the absolute difference in temperature
of the medium over a reference temperature. The exact method of calculation may vary;
here the dai"
ChronicHeat,mean_degree_days/above/32c,chronic_heat/osc/v2/mean_degree_days_v2_above_32c_MIROC6_{scenario}_{year},Mean degree days above 32°C/MIROC6,"Degree days indicators are calculated by integrating over time the absolute difference in temperature
of the medium over a reference temperature. The exact method of calculation may vary;
here the dai"
ChronicHeat,mean_degree_days/above/32c,chronic_heat/osc/v2/mean_degree_days_v2_above_32c_MPI-ESM1-2-LR_{scenario}_{year},Mean degree days above 32°C/MPI-ESM1-2-LR,"Degree days indicators are calculated by integrating over time the absolute difference in temperature
of the medium over a reference temperature. The exact method of calculation may vary;
here the dai"
ChronicHeat,mean_degree_days/above/32c,chronic_heat/osc/v2/mean_degree_days_v2_above_32c_NorESM2-MM_{scenario}_{year},Mean degree days above 32°C/NorESM2-MM,"Degree days indicators are calculated by integrating over time the absolute difference in temperature
of the medium over a reference temperature. The exact method of calculation may vary;
here the dai"
ChronicHeat,days/above/35c,chronic_heat/jupiter/v1/days_above_35c_{scenario}_{year},Days per year above 35°C (Jupiter),"
These data should not be used in any manner relating to emergency management or planning, public safety,
physical safety or property endangerment. For higher-resolution data based on up-to-date metho"
ChronicHeat,mean_work_loss/low,chronic_heat/osc/v2/mean_work_loss_low_ACCESS-CM2_{scenario}_{year},"Mean work loss, low intensity/ACCESS-CM2","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/low,chronic_heat/osc/v2/mean_work_loss_low_CMCC-ESM2_{scenario}_{year},"Mean work loss, low intensity/CMCC-ESM2","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/low,chronic_heat/osc/v2/mean_work_loss_low_CNRM-CM6-1_{scenario}_{year},"Mean work loss, low intensity/CNRM-CM6-1","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
